X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
2014,107/03/06,957190,64938681,68.0,68.4,67.6,66.75,0.4,646,0,64.2,71.0,54.41176471,65.07279506,70.53195509,81.45027515,1
2015,107/03/07,1395274,95396932,67.7,69.2,67.6,67.09,-0.3,909,1,64.2,71.0,50.0,60.04853004,67.03748007,81.01538014,1
2016,107/03/08,3316753,230331370,68.5,70.8,68.5,67.41999999999999,0.9,2068,0,64.2,71.0,63.23529412,61.11078473,65.06191496,72.96417541,1
2017,107/03/09,1464387,100078528,68.9,69.3,67.6,67.8,-0.1,1074,0,64.5,71.0,60.0,60.74052315,63.62145102,69.38330676,1
2018,107/03/12,1524274,104125855,68.6,68.7,68.0,68.19,-0.3,958,0,66.6,71.0,34.09090909,51.85731847,59.7000735,75.38558358,0
2019,107/03/13,1018392,69251856,68.1,68.5,67.7,68.18,-0.3,746,0,66.6,71.0,27.27272727,43.66245474,54.35420058,75.73769227,1
2020,107/03/14,538899,36566690,68.0,68.2,67.7,68.22999999999999,-0.1,492,0,67.5,71.0,5.714285714,31.01306506,46.57382207,77.6953361,0
2021,107/03/15,618040,41961220,68.0,68.1,67.7,68.03999999999999,0,446,0,67.5,70.8,6.060606061,22.69557873,38.61440763,70.45206542,0
2022,107/03/16,1295119,87274387,67.9,68.0,67.0,67.82000000000001,-0.7,854,0,67.0,70.8,0.0,15.13038582,30.78640036,62.09842943,0
2023,107/03/19,1794966,118934291,66.7,66.8,65.8,67.69000000000001,-0.8,1337,1,65.8,70.8,8.0,12.75359055,24.77546375,48.81921017,0
2024,107/03/20,710429,47190741,66.2,66.9,65.9,67.55999999999999,0.4,691,1,65.8,70.8,16.0,13.83572703,21.12888485,35.71520048,0
2025,107/03/21,947940,63749904,66.8,67.8,66.6,67.53,0.7,791,0,65.8,69.3,42.85714286,23.50953231,21.922434,18.74823738,0
2026,107/03/22,903081,60407292,67.4,67.5,66.5,67.33000000000001,-0.8,740,0,65.8,68.7,24.13793103,23.71899855,22.52128885,20.12586945,0
2027,107/03/23,1805211,118683758,66.0,66.1,65.5,67.05,-0.9,1217,0,65.5,68.5,3.333333333,16.92377681,20.6554515,28.11880089,0
2028,107/03/26,1454989,95384374,65.4,66.4,65.0,66.79,-0.1,930,0,65.0,68.2,15.625,16.49085121,19.2672514,24.8200518,0
2029,107/03/27,719540,47303777,65.9,66.2,65.4,66.55,-0.1,571,0,65.0,68.1,12.90322581,15.29497607,17.94315963,23.23952673,0
2030,107/03/28,552254,36001166,65.4,65.4,65.0,66.3,-0.2,472,1,65.0,68.0,6.666666667,12.41887294,16.10173073,23.46744632,0
2031,107/03/29,311587,20362307,65.3,65.6,65.2,66.07000000000001,0.2,248,1,65.0,67.8,14.28571429,13.04115339,15.08153828,19.16230807,0
2032,107/03/30,499030,32690244,65.7,65.7,65.4,65.92999999999999,0.2,392,0,65.0,67.8,21.42857143,15.8369594,15.33334532,14.32611716,0
2033,107/03/31,204787,13405642,65.7,65.7,65.3,65.85,-0.2,195,1,65.0,67.8,14.28571429,15.3198777,15.32885611,15.34681295,1
2034,107/04/02,232667,15252422,65.8,65.8,65.4,65.74000000000001,0.1,239,0,65.0,67.5,20.0,16.87991846,15.8458769,13.77779376,0
2035,107/04/03,805916,52309575,65.5,65.5,64.8,65.51,-0.5,642,0,64.8,66.4,12.5,15.41994564,15.70389981,16.27180815,0
2036,107/04/09,1109009,71281205,65.2,65.2,64.0,65.27,-0.9,1015,0,64.0,66.4,4.166666667,11.66885265,14.35888409,19.73894697,0
2037,107/04/10,1621322,104016158,64.2,64.5,64.0,65.10999999999999,-0.1,972,0,64.0,66.2,0.0,7.7792351,12.16566776,20.93853308,0
2038,107/04/11,1396597,88909356,64.2,64.2,63.4,64.91,-0.5,1105,0,63.4,65.8,4.166666667,6.575045623,10.30212705,17.7562899,0
2039,107/04/12,1502479,94586407,63.1,63.3,62.7,64.66,-0.6,1149,1,62.7,65.8,6.451612903,6.533901383,9.046051826,14.07035271,0
2040,107/04/13,958190,60733610,63.0,64.0,62.9,64.46000000000001,0.3,702,0,62.7,65.8,16.12903226,9.732278341,9.274793998,8.359825312,0
2041,107/04/16,960246,60146532,63.2,63.2,62.4,64.19,-0.5,687,1,62.4,65.8,8.823529412,9.429362031,9.326316676,9.120225965,0
2042,107/04/17,529326,33320882,62.8,63.2,62.7,63.94000000000001,0.4,383,0,62.4,65.8,20.58823529,13.14898645,10.60053993,5.503646899,0
2043,107/04/18,1274427,79670857,63.5,63.5,62.1,63.61999999999999,-0.9,1006,1,62.1,65.5,2.941176471,9.746383125,10.315821,11.45469674,0
2044,107/04/19,443964,27782924,62.2,62.9,62.2,63.339999999999996,0.5,338,0,62.1,65.2,19.35483871,12.94920165,11.19361455,7.682440343,0
2045,107/04/20,573859,35904717,62.8,62.8,62.5,63.1,-0.1,357,1,62.1,64.5,20.83333333,15.57724555,12.65482488,6.809983553,0
2046,107/04/23,457392,28874889,62.7,63.3,62.7,63.0,0.5,321,0,62.1,64.2,47.61904762,26.25784624,17.18916533,-0.948196473,0
2047,107/04/24,468043,29406504,63.1,63.1,62.6,62.89000000000001,-0.2,346,1,62.1,64.0,42.10526316,31.54031854,21.97288307,2.838012123,0
2048,107/04/25,548301,34617306,62.5,63.5,62.4,62.89000000000001,0.6,405,0,62.1,64.0,73.68421053,45.58828254,29.84468289,-1.642516397,1
2049,107/04/26,830144,52601637,63.7,63.7,62.9,62.919999999999995,-0.3,531,0,62.1,63.7,68.75,53.30885503,37.6660736,6.380510761,0
2050,107/04/27,358003,22664180,63.2,63.5,63.2,62.92,0,282,1,62.1,63.7,68.75,58.45590335,44.59601685,16.87624386,1
2051,107/04/30,625663,39905657,63.2,64.3,63.0,63.05,0.8,429,0,62.1,64.3,86.36363636,67.75848102,52.31683824,21.43355268,1
2052,107/05/02,757904,47723891,63.5,63.5,62.4,63.08,-0.6,615,0,62.2,64.3,57.14285714,64.21993973,56.28453874,40.41373676,0
