volume,price,open,high,low,close,times,Prediction_Result
47138909,10696822542,229.0,229.0,225.0,226.0,16009,1
51034754,11355347628,225.0,225.0,221.0,222.0,16289,0
45686756,9995960780,219.0,220.5,218.0,218.0,16874,1
38478343,8361178460,214.5,220.0,214.0,219.0,13580,1
22060610,4867686945,221.5,222.0,219.0,219.0,9095,1
15553334,3406422046,220.5,220.5,217.0,218.5,6164,0
35267804,7847501792,219.0,224.0,218.5,223.0,9422,1
32676349,7239283641,220.0,224.5,219.0,224.0,10170,1
24759026,5560623349,222.5,227.0,222.0,226.5,8316,1
46206207,10629450003,231.5,231.5,229.0,229.0,15849,1
57352957,12995823319,229.5,231.0,225.5,225.5,10931,0
49612186,11579966474,231.0,235.0,231.0,235.0,19747,1
41947162,9791147799,233.0,234.5,231.0,234.0,12545,0
45634576,10316394736,226.5,227.5,225.0,226.0,15703,1
40181112,8853295746,220.0,222.0,219.5,220.0,15702,0
31997568,7097739916,222.5,223.5,220.5,221.0,8315,0
26229461,5744814170,219.5,220.0,218.5,219.0,8650,1
27395220,6067551383,220.0,223.0,219.0,222.5,8509,0
32926379,7418108779,223.5,227.0,222.5,226.5,9117,0
32433141,7345479366,227.0,227.5,225.0,226.0,8635,0
43226159,9570070114,223.0,223.5,220.5,222.5,10454,0
18964952,4229977248,221.0,225.0,220.0,223.5,6449,0
30270541,6713448829,221.0,223.0,220.5,222.5,10521,1
23415082,5255393450,222.0,225.5,222.0,225.5,7875,1
38697116,8573665030,221.0,222.5,221.0,221.0,10528,0
46947532,10401202852,219.0,224.0,219.0,223.5,9554,1
5185247,1145814834,220.0,221.5,220.0,221.5,2229,1
23376100,5151549100,221.5,221.5,219.5,220.0,6122,1
19402777,4198767163,215.5,218.0,215.0,217.5,8065,1
16893259,3678108462,218.5,219.5,216.0,216.5,6998,0
21915484,4874845852,222.0,224.0,220.5,223.0,9531,0
30156773,6762447425,223.5,225.5,222.5,225.5,10247,0
32900482,7276419230,226.5,226.5,219.0,219.5,12329,1
34615620,7459051790,214.0,218.0,214.0,215.5,14549,1
67043521,13987136785,211.5,211.5,206.5,208.0,28786,0
35695176,7591116569,212.0,214.0,211.0,213.0,11224,0
23794481,5019703557,212.0,212.5,210.0,211.0,9377,0
51255446,11006827093,212.0,216.5,211.0,215.5,14098,0
20832593,4491377349,216.0,216.5,214.5,216.0,6018,1
28658288,6296719320,219.0,220.5,218.0,220.5,11198,1
17612296,3844735324,218.5,220.0,217.0,218.5,6469,0
42990923,9399209983,216.5,221.0,215.5,221.0,11609,0
30038282,6563789758,218.5,220.0,217.5,217.5,8950,1
21163986,4646131841,218.0,221.0,218.0,220.5,8288,1
52677569,11530053787,219.0,220.0,217.5,218.5,15157,0
32515866,7208829658,220.0,223.0,220.0,221.0,10549,1
30958483,6854867566,220.0,223.0,219.0,223.0,8258,0
