X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
1964,106/12/22,16922399,1667609516,101.0,103.0,96.7,105.75999999999999,-3.9,10185,1,96.7,116.0,4.663212435,21.21991506,33.37811691,57.69452062,0
1965,106/12/25,8055973,798323724,98.1,100.5,97.2,103.92,1,5439,0,96.7,109.5,14.84375,19.09452671,28.61692018,47.66170712,0
1966,106/12/26,17549649,1636580608,99.3,99.5,89.4,102.17,-6.6,10419,0,89.4,109.0,13.26530612,17.15145318,24.79509785,40.08238718,0
1967,106/12/27,6989775,646939700,92.3,94.0,91.6,100.62,0,4706,1,89.4,109.0,13.26530612,15.85607083,21.81542217,33.73412486,0
1968,106/12/28,11985039,1151436525,93.5,98.5,93.2,99.71000000000001,3.9,8035,0,89.4,108.0,34.94623656,22.2194594,21.95010125,21.41138494,0
1969,106/12/29,8044242,754325919,95.8,95.9,92.2,98.62,-2.8,5186,1,89.4,108.0,19.89247312,21.44379731,21.78133327,22.45640519,0
1970,107/01/02,8700850,805006550,92.0,95.0,89.5,97.72,1.9,5705,1,89.4,107.5,30.93922652,24.60894038,22.72386897,18.95372616,0
1971,107/01/03,16565795,1631621910,96.0,101.5,95.2,97.07000000000001,3,9988,0,89.4,107.0,48.86363636,32.69383904,26.04719233,12.75389891,0
1972,107/01/04,7990635,785846171,99.0,99.8,97.1,96.16,-0.1,5033,1,89.4,103.0,62.5,42.62922603,31.57453689,9.465158631,0
1973,107/01/05,11451849,1147470351,99.3,102.0,98.5,95.91,1.1,6702,0,89.4,102.0,76.19047619,53.81630941,38.98846107,9.332764375,0
1974,107/01/08,5967067,588787959,101.0,101.5,96.5,95.8,-2.5,3866,0,89.4,102.0,56.34920635,54.66060839,44.21251018,23.31631374,0
1975,107/01/09,8403598,788302964,95.5,97.9,91.9,95.39000000000001,-2,5181,1,89.5,102.0,40.0,49.77373893,46.06625309,38.65128142,1
1976,107/01/10,7083284,665904002,94.5,95.8,92.1,95.75,1.1,4631,1,89.5,102.0,48.8,49.44915929,47.19388849,42.6833469,0
1977,107/01/11,8877523,869229626,95.7,99.9,94.5,96.54,4.3,5957,0,89.5,102.0,83.2,60.69943952,51.69573884,33.68833746,1
1978,107/01/12,8251249,823836945,101.0,102.5,98.5,96.80999999999999,-1.3,5250,1,89.5,102.5,70.0,63.79962635,55.73036801,39.59185132,1
1979,107/01/15,19434971,2020340868,96.8,108.0,96.8,98.3,9.4,10730,0,91.9,108.0,100.0,75.86641757,62.44238453,35.59431845,1
1980,107/01/16,26071521,2863018726,109.0,113.5,105.5,99.4,-2,13946,1,91.9,113.5,65.27777778,72.33687097,65.74054667,52.54789808,1
1981,107/01/17,15534434,1694394866,106.0,113.0,105.0,100.8,6,8822,0,91.9,113.5,93.05555556,79.24309917,70.2413975,52.23799418,1
1982,107/01/18,15645614,1759527926,114.0,115.0,109.0,101.91,-3,8870,1,91.9,115.0,74.02597403,77.50405745,72.66228415,62.97873756,1
1983,107/01/19,7315255,797755050,110.0,111.0,107.0,103.05999999999999,1.5,4102,1,91.9,115.0,80.51948052,78.50919847,74.61125559,66.81536983,1
1984,107/01/22,7816587,860184352,112.0,112.0,108.0,104.50999999999999,0.5,4927,0,92.1,115.0,82.53275109,79.85038268,76.35763129,69.37212851,1
1985,107/01/23,6773345,735533915,110.5,111.0,107.0,105.80999999999999,-3.5,3890,1,94.5,115.0,63.41463415,74.37179984,75.69568747,78.34346274,1
1986,107/01/24,7967926,843107371,105.0,109.5,103.5,107.2,2,4761,0,96.8,115.0,69.78021978,72.84127315,74.74421603,78.55010179,1
