volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
36945780,9155812210,245.5,250.0,245.5,250.0,13977,238.5,250.5,95.83333333,68.58347515,60.59107445,44.60627306,0
30391219,7525601638,248.0,248.5,246.0,247.0,10521,238.5,250.5,70.83333333,69.33342788,63.50519226,51.84872103,0
20645694,5172732531,249.5,251.5,249.0,249.5,8817,238.5,251.5,84.61538462,74.42741346,67.14593266,52.58297106,1
22887063,5723277170,250.0,251.0,248.5,250.5,7050,238.5,251.5,92.30769231,80.38750641,71.55979057,53.90435891,1
25100615,6370529728,252.0,255.0,251.5,254.0,10550,238.5,255.0,93.93939394,84.90480225,76.0081278,58.2147789,0
34264883,8816553606,255.5,259.0,255.0,259.0,11700,238.5,259.0,100.0,89.93653483,80.65093014,62.07972077,0
24254838,6220805864,256.5,257.5,255.5,257.0,8518,238.5,259.0,90.24390244,90.0389907,83.78028366,71.26286959,1
19396493,4965546715,258.0,258.0,255.0,255.0,5945,240.5,259.0,78.37837838,86.15211993,84.57089575,81.4084474,1
62989326,15930805360,253.0,256.0,249.5,255.0,18058,245.5,259.0,70.37037037,80.89153674,83.34444275,88.25025476,1
22440766,5679567964,252.5,255.5,251.0,255.0,9888,246.0,259.0,69.23076923,77.00461424,81.23116658,89.68427126,1
22335151,5640426203,253.0,254.0,251.5,253.0,9334,248.5,259.0,42.85714286,65.62212378,76.02815231,96.84020938,1
32977737,8325162114,255.0,255.0,251.0,252.5,11575,248.5,259.0,38.0952381,56.44649522,69.50093328,95.60980941,1
27000718,6797045014,254.5,254.5,249.5,251.5,10475,249.5,259.0,21.05263158,44.64854067,61.21680241,94.35332589,1
52974390,12994667867,245.0,247.0,244.0,245.0,20513,244.0,259.0,6.666666667,31.987916,51.47384027,90.44568882,0
39487945,9582954454,241.5,244.5,241.5,243.5,11404,241.5,258.0,12.12121212,25.36568138,42.77112064,77.58199917,0
31100260,7732298021,248.0,251.0,247.0,251.0,11698,241.5,258.0,57.57575758,36.10237344,40.54820491,49.43986784,1
29924411,7349468217,247.5,248.0,244.0,245.0,13041,241.5,256.0,24.13793103,32.11422597,37.7368786,48.98218384,0
36427345,8888435870,243.0,247.0,242.5,244.0,12832,241.5,255.5,17.85714286,27.36186493,34.27854071,48.11189226,1
16996346,4212690462,247.5,249.5,246.0,246.0,7578,241.5,255.0,33.33333333,29.3523544,32.63647861,39.20472702,0
3603912,893664176,247.5,249.0,246.5,247.5,2409,241.5,255.0,44.44444444,34.38305108,33.21866943,30.88990613,1
19029003,4702581241,248.5,249.0,245.0,246.5,6951,241.5,254.5,38.46153846,35.74254688,34.05996191,30.69479199,0
35813944,8710200224,243.0,244.5,242.0,244.0,13270,241.5,251.0,26.31578947,32.60029441,33.57340608,35.51962942,0
