X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
2014,107/03/06,150617,2002193,13.3,13.35,13.25,13.315000000000001,0,70,0,13.15,13.5,28.57142857,53.61439378,60.44291759,74.09996523,0
2015,107/03/07,238233,3163974,13.2,13.35,13.2,13.329999999999998,0,74,1,13.15,13.5,28.57142857,45.26673871,55.3841913,75.61909648,0
2016,107/03/08,125535,1668585,13.3,13.35,13.25,13.325,0.05,63,1,13.2,13.5,33.33333333,41.28893692,50.68577317,69.47944568,0
2017,107/03/09,141400,1890810,13.35,13.4,13.3,13.334999999999999,0.1,73,1,13.2,13.5,66.66666667,49.74818017,50.37324217,51.62336618,1
2018,107/03/12,620062,8340178,13.4,13.55,13.35,13.354999999999999,0.1,181,0,13.2,13.55,85.71428571,61.73688202,54.16112212,39.00960232,1
2019,107/03/13,289438,3894313,13.5,13.55,13.4,13.365,0,180,0,13.2,13.55,85.71428571,69.72934992,59.35053138,38.59289432,1
2020,107/03/14,162199,2174913,13.4,13.45,13.4,13.36,-0.1,69,0,13.2,13.55,57.14285714,65.53385232,61.41163836,53.16721044,1
2021,107/03/15,378528,5058118,13.4,13.45,13.35,13.354999999999999,-0.05,122,0,13.2,13.55,42.85714286,57.97494917,60.2660753,64.84832756,1
2022,107/03/16,594915,7919064,13.35,13.4,13.25,13.35,-0.05,192,1,13.2,13.55,28.57142857,48.17377564,56.23530874,72.35837496,0
2023,107/03/19,185138,2463278,13.3,13.35,13.25,13.36,0.05,91,0,13.2,13.55,42.85714286,46.40156471,52.95739407,66.06905278,1
2024,107/03/20,264414,3510384,13.25,13.35,13.2,13.36,-0.1,115,1,13.2,13.55,14.28571429,35.69628124,47.20368979,70.2185069,0
2025,107/03/21,311432,4131420,13.25,13.3,13.25,13.365,0.05,81,0,13.2,13.55,28.57142857,33.32133035,42.57623664,61.08604923,0
