X,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
2014,33359576,649979497,19.35,19.75,19.2,19.3,9047,18.45,20.25,47.22222222,47.06311046,43.90589934,37.59147709,1
2015,36768485,711000744,19.3,19.65,19.05,19.05,9603,18.45,20.25,33.33333333,42.48651808,43.43277225,45.32528059,0
2016,45828301,893552772,19.3,19.7,19.15,19.6,9646,18.65,20.25,59.375,48.11601206,44.99385219,38.74953245,0
2017,70320320,1419388276,20.1,20.45,20.0,20.05,18710,18.7,20.45,77.14285714,57.79162708,49.25977715,32.19607729,1
2018,34592318,693922743,20.25,20.35,19.8,19.85,9816,18.9,20.45,61.29032258,58.95785892,52.49247107,39.56169539,0
2019,106263778,2203911947,20.5,21.25,20.4,21.15,26056,18.9,21.25,95.74468085,71.22013289,58.73502501,33.76480925,0
2020,54086505,1131270924,20.95,21.2,20.65,20.75,13981,18.9,21.25,78.72340426,73.72122335,63.73042446,43.74882668,0
2021,33077238,686658837,20.6,21.1,20.45,21.1,7901,18.9,21.25,93.61702128,80.35315599,69.27133497,47.10769293,0
2022,85586828,1832887978,21.4,21.75,21.2,21.2,20788,19.05,21.75,79.62962963,80.11198054,72.88488349,58.4306894,0
2023,36478647,774562697,21.4,21.55,21.0,21.0,9276,19.05,21.75,72.22222222,77.4820611,74.41727603,68.28770589,0
2024,27389142,566771972,20.75,20.85,20.55,20.6,7450,19.15,21.75,55.76923077,70.24445099,73.02633435,78.59010107,0
2025,27763266,581216347,20.8,21.2,20.7,20.8,7556,19.8,21.75,51.28205128,63.92365109,69.99210659,82.12901761,0
2026,43498536,893097204,20.95,21.1,20.15,20.2,10785,19.8,21.75,20.51282051,49.45337423,63.14586247,90.53083896,0
2027,44338835,865943691,19.25,19.9,19.0,19.9,11469,19.0,21.75,32.72727273,43.87800706,56.723244,82.41371788,0
2028,25171895,501574976,19.85,20.1,19.7,19.85,6811,19.0,21.75,30.90909091,39.55503501,51.00050767,73.89145299,0
2029,34119264,691785072,20.15,20.45,20.15,20.2,8521,19.0,21.75,43.63636364,40.91547789,47.63883108,61.08553746,0
2030,17268468,343230809,20.0,20.1,19.7,19.75,5560,19.0,21.75,27.27272727,36.36789435,43.88185217,58.9097678,0
2031,15488380,305240782,19.9,19.95,19.55,19.55,5090,19.0,21.55,21.56862745,31.43480538,39.73283657,56.32889895,0
2032,19516089,385294603,19.85,19.95,19.55,19.55,4692,19.0,21.2,25.0,29.28987025,36.2518478,50.17580289,0
2033,10163965,198309396,19.65,19.7,19.4,19.55,3172,19.0,21.2,25.0,27.8599135,33.45453637,44.6437821,0
2034,19281667,382562691,19.7,20.1,19.65,19.75,5222,19.0,21.1,35.71428571,30.47803757,32.4623701,36.43103516,0
2035,18710383,362007802,19.45,19.5,19.25,19.35,5798,19.0,20.45,24.13793103,28.36466873,31.09646964,36.56007148,1
2036,28032698,531290109,19.35,19.45,18.75,18.75,8514,18.75,20.45,0.0,18.90977915,27.03423948,43.28316014,0
2037,20780184,395042259,18.85,19.25,18.8,18.9,5830,18.75,20.45,8.823529412,15.5476959,23.20539162,38.52078306,1
2038,24287764,464717737,19.25,19.4,18.85,18.85,6850,18.75,20.1,7.407407407,12.83426641,19.74834988,33.57651684,0
2039,21579627,411456263,19.05,19.25,18.9,19.0,5509,18.75,20.1,18.51851852,14.72901711,18.07523896,24.76768266,1
2040,21689973,416265963,19.2,19.35,19.1,19.1,5101,18.75,20.1,25.92592593,18.46132005,18.20393266,17.68915787,0
2041,13499738,256178772,19.15,19.2,18.9,18.95,4105,18.75,20.1,14.81481481,17.2458183,17.8845612,19.16204701,1
2042,19759337,371367210,19.05,19.15,18.5,18.6,5887,18.5,20.1,6.25,13.58054554,16.44988932,22.18857687,1
2043,26402810,496613674,18.85,19.05,18.6,18.65,6189,18.5,19.5,15.0,14.05369702,15.65115855,18.84608161,1
2044,22660154,423357295,18.75,18.85,18.55,18.7,6801,18.5,19.45,21.05263158,16.38667521,15.89633077,14.91564189,1
2045,24192143,442600054,18.4,18.45,18.15,18.25,6785,18.15,19.4,8.0,13.59111681,15.12792612,18.20154474,1
2046,25709626,462055376,18.05,18.2,17.8,17.8,7219,17.8,19.4,0.0,9.060744537,13.10553226,21.19510769,1
2047,37429506,641747902,17.8,17.85,16.9,16.95,11184,16.9,19.35,2.040816327,6.720768467,10.97727766,19.49029605,1
2048,62683122,1105031121,16.7,18.4,16.6,18.15,17392,16.6,19.35,56.36363636,23.2683911,15.07431547,-1.313835779,0
2049,50995187,914309254,18.4,18.45,17.45,17.45,12393,16.6,19.2,32.69230769,26.40969663,18.85277586,3.738934316,0
2050,24198716,430612851,17.8,17.95,17.6,17.85,5873,16.6,19.15,49.01960784,33.9463337,23.88396181,3.759218016,0
2051,31991772,580740072,18.0,18.35,17.8,18.3,6515,16.6,19.05,69.3877551,45.76014083,31.17602148,2.007782778,1
2052,53250098,987488469,18.7,18.9,18.05,18.1,12845,16.6,18.9,65.2173913,52.24589099,38.19931132,10.10615197,0
2053,36210379,641806432,17.85,18.05,17.55,17.55,9194,16.6,18.9,41.30434783,48.59870994,41.66577752,27.7999127,0
2054,14747060,260223088,17.65,17.75,17.5,17.65,4425,16.6,18.9,45.65217391,47.61653126,43.6493621,35.71502379,0
2055,21119828,376517744,17.85,18.1,17.5,18.0,6209,16.6,18.9,60.86956522,52.03420925,46.44431115,35.26451496,0
2056,25829003,468560429,18.1,18.3,17.95,18.05,6305,16.6,18.9,63.04347826,55.70396558,49.53086263,37.18465672,0
2057,19231268,349065982,18.15,18.25,18.0,18.1,6272,17.45,18.9,44.82758621,52.07850579,50.38007702,46.98321947,0
2058,22075986,407111768,18.4,18.6,18.3,18.45,5654,17.5,18.9,67.85714286,57.33805148,52.69940184,43.42210255,0
2059,25310925,471934799,18.7,18.85,18.4,18.4,6901,17.5,18.9,64.28571429,59.65393908,55.01758092,45.74486459,0
2060,16121772,299857417,18.55,18.75,18.45,18.6,3926,17.5,18.9,78.57142857,65.95976891,58.66497692,44.07539293,0
2061,15126548,280678642,18.7,18.8,18.4,18.45,4053,17.5,18.85,70.37037037,67.4299694,61.58664108,49.89998444,0
2062,161543494,3178616203,18.75,20.25,18.75,20.25,35761,17.5,20.25,100.0,78.28664627,67.15330947,44.88663589,0
2063,151301899,3144859950,20.8,21.2,20.35,20.4,33868,17.5,21.2,78.37837838,78.31722364,70.87461419,55.98939531,0
2064,56623671,1134574201,20.25,20.35,19.75,20.15,15118,17.95,21.2,67.69230769,74.77558499,72.17493779,66.9736434,1
2065,67296847,1390535804,20.35,21.05,20.3,20.4,16016,18.0,21.2,75.0,74.85038999,73.06675519,69.49948559,0
2066,51826551,1046315465,20.6,20.75,19.85,19.85,12924,18.3,21.2,53.44827586,67.71635195,71.28328744,78.41715844,0
2067,58998044,1194429730,20.25,20.65,19.95,20.0,14764,18.4,21.2,57.14285714,64.19185368,68.91947619,78.37472121,0
2068,70830113,1447156178,20.2,20.75,19.9,20.5,16005,18.4,21.2,75.0,67.79456912,68.54450717,70.04438326,0
2069,65999235,1370299098,20.85,21.05,20.5,20.5,14974,18.4,21.2,75.0,70.19637941,69.09513125,66.89263492,0
2070,47432775,977969075,20.65,20.85,20.35,20.55,11442,18.75,21.2,73.46938776,71.28738219,69.82588156,66.9028803,0
2071,87329516,1827622396,20.75,21.3,20.6,20.7,19205,19.75,21.3,61.29032258,67.95502899,69.20226404,71.69673414,0
2072,94816053,1901561822,20.4,20.45,19.8,19.8,22011,19.75,21.3,3.225806452,46.37862148,61.59438319,92.0259066,1
2073,54837188,1097962135,20.15,20.2,19.85,20.05,9276,19.8,21.3,16.66666667,36.47463654,53.2211343,86.71412983,1
2074,27829163,551226301,19.85,19.95,19.75,19.75,7199,19.75,21.3,0.0,24.31642436,43.58623099,82.12584425,0
2075,60619243,1232420130,19.95,20.6,19.9,20.4,11963,19.75,21.3,41.93548387,30.1894442,39.12063539,56.98301778,0
2076,64694215,1339899255,20.65,20.9,20.5,20.65,13047,19.75,21.3,58.06451613,39.48113484,39.24080187,38.76013594,0
2077,33152935,687663322,20.9,20.95,20.6,20.65,7727,19.75,21.3,58.06451613,45.67559527,41.38573301,32.80600848,0
