X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
2015,107/03/06,1488619,168635246,113.5,114.0,113.0,113.75,1,771,0,111.0,119.0,31.25,47.1482859,56.05686384,73.87401973,0
2016,107/03/07,1063221,120082694,113.0,114.0,112.5,113.95,-0.5,726,0,111.0,119.0,25.0,39.76552393,50.62641721,72.34820375,0
2017,107/03/08,1404774,158519342,113.0,113.5,112.5,113.75,0,915,1,112.0,119.0,14.28571429,31.27225405,44.17502949,69.98058036,0
2018,107/03/09,2219320,253710310,113.0,115.5,112.5,113.9,1,1417,1,112.5,119.0,23.07692308,28.54047706,38.96351201,59.80958191,0
2019,107/03/12,4304750,512385750,115.0,120.5,114.5,114.6,5.5,2936,0,112.5,120.5,87.5,48.19365137,42.04022513,29.73337265,0
2020,107/03/13,2629679,314306916,119.0,121.0,117.0,115.0,0,2115,1,112.5,121.0,82.35294118,59.58008131,47.88684386,24.50036896,0
2021,107/03/14,1802252,216939988,119.5,121.5,118.5,115.4,0.5,1325,1,112.5,121.5,83.33333333,67.49783198,54.4238399,28.27585573,1
2022,107/03/15,1423106,173128432,120.0,123.0,119.0,116.15,3,1116,0,112.5,123.0,100.0,78.33188799,62.39318926,30.51579181,1
2023,107/03/16,2012157,244980654,122.5,122.5,120.5,117.05,-0.5,1429,1,112.5,123.0,95.23809524,83.9672904,69.58455631,40.81908812,1
2024,107/03/19,1345061,164778942,122.0,123.5,121.5,118.1,0.5,1137,1,112.5,123.5,95.45454545,87.79637542,75.65516268,51.3727372,1
2025,107/03/20,2102025,258825068,121.5,124.5,120.5,119.2,1.5,1327,1,112.5,124.5,100.0,91.86425028,81.05819188,59.44607508,1
2026,107/03/21,3845319,482318556,125.0,126.0,123.5,120.4,0.5,2739,0,112.5,126.0,92.59259259,92.10703105,84.74113827,70.00935271,1
2027,107/03/22,1255301,156528139,125.0,125.5,123.5,121.55,-0.5,872,0,114.5,126.0,86.95652174,90.39019461,86.62415705,79.09208193,1
2028,107/03/23,1758002,211680214,119.5,121.5,119.0,122.2,-4,1146,1,117.0,126.0,38.88888889,73.22309271,82.1571356,100.0252214,1
2029,107/03/26,1148694,140291168,119.5,123.5,119.5,122.55,2.5,873,1,118.5,126.0,60.0,68.81539514,77.70988878,95.49887607,1
2030,107/03/27,999703,123890969,124.5,125.0,123.0,122.95,0.5,867,1,119.0,126.0,64.28571429,67.30550152,74.24175969,88.11427604,1
2031,107/03/28,2221686,279908553,123.0,127.0,122.5,123.55,2.5,1522,0,119.0,127.0,87.5,74.03700101,74.1735068,74.44651837,1
2032,107/03/29,1433434,180524250,126.5,127.0,125.0,123.8,-0.5,1170,1,119.0,127.0,81.25,76.44133401,74.9294492,71.90567959,1
2033,107/03/30,2706980,345050440,125.5,129.0,124.5,124.45,3.5,1882,1,119.0,129.0,100.0,84.29422267,78.05104036,65.56467573,1
2034,107/03/31,1578009,205705127,129.0,133.0,127.5,125.15,1,1066,0,119.0,133.0,78.57142857,82.38662464,79.49623512,73.71545608,1
2035,107/04/02,3301107,418604375,130.0,132.0,124.5,125.2,-5,2126,1,119.0,133.0,42.85714286,69.21013071,76.06753365,89.78233953,1
2036,107/04/03,3233149,410194923,123.0,130.0,122.5,125.5,3,2250,1,119.0,133.0,64.28571429,67.56865857,73.23457529,84.56640873,1
2037,107/04/09,5311080,698315063,131.5,134.5,129.0,125.95,1,3116,1,119.5,134.5,63.33333333,66.15688349,70.87534469,80.31226709,1
2038,107/04/10,3153168,405187068,129.0,130.5,125.5,126.85,0.5,1878,1,122.5,134.5,58.33333333,63.54903344,68.43324094,78.20165594,1
