X,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
2014,129500,7816738,60.3,60.7,60.3,60.4,110,60.1,61.9,16.66666667,39.14094271,53.82947684,83.20654511,1
2015,103371,6237913,60.1,60.7,60.1,60.4,95,60.1,61.9,16.66666667,31.64951736,46.43615702,76.00943632,0
2016,176208,10622923,60.5,60.5,60.1,60.1,156,60.1,61.9,0.0,21.09967824,37.99066409,71.77263579,1
2017,623264,38467668,60.7,62.4,60.5,61.5,483,60.1,62.4,60.86956522,34.35630723,36.77921181,41.62502095,1
2018,1122816,70509103,62.1,63.5,61.8,62.5,830,60.1,63.5,70.58823529,46.43361659,39.99734673,27.12480702,0
2019,961055,60816946,63.0,63.7,62.9,63.0,729,60.1,63.7,80.55555556,57.80759624,45.93409657,22.18709722,0
2020,429270,26801367,63.2,63.2,62.2,62.2,302,60.1,63.7,58.33333333,57.98284194,49.95034503,33.8853512,1
2021,500461,31163482,62.2,62.9,62.0,62.1,477,60.1,63.7,55.55555556,57.17374648,52.35814551,42.72694357,1
2022,673180,41694240,62.5,62.5,61.5,61.8,458,60.1,63.7,47.22222222,53.85657173,52.85762092,50.85971929,1
2023,339073,20919034,61.8,62.0,61.5,61.6,420,60.1,63.7,41.66666667,49.79327004,51.83617062,55.92197179,1
2024,348688,21330555,61.2,61.5,61.0,61.4,450,60.1,63.7,36.11111111,45.2325504,49.63496388,58.43979085,1
2025,365563,22414743,61.6,61.8,61.0,61.0,443,60.5,63.7,15.625,35.36336693,44.8777649,63.90656083,1
2026,349213,21295593,61.0,61.3,60.9,60.9,365,60.9,63.7,0.0,23.57557795,37.77703592,66.17995184,1
2027,481611,29072271,60.5,60.6,60.2,60.2,393,60.2,63.7,0.0,15.71705197,30.42370793,59.83701986,1
2028,466644,27972522,60.3,60.5,59.7,59.9,502,59.7,63.2,5.714285714,12.38279655,24.41007081,48.46461932,1
2029,381662,23121036,60.6,61.0,60.0,60.6,453,59.7,62.9,28.125,17.6301977,22.1501131,31.18994391,0
2030,164544,9993512,60.7,61.0,60.5,60.7,263,59.7,62.5,35.71428571,23.65822704,22.65281775,20.64199917,0
2031,278140,16807799,60.5,61.0,60.0,60.6,288,59.7,62.0,39.13043478,28.81562962,24.70708837,16.49000588,0
2032,128429,7810682,60.6,61.0,60.6,60.9,153,59.7,61.8,57.14285714,38.25803879,29.22407185,11.15613795,0
2033,100371,6122885,61.2,61.2,60.9,60.9,86,59.7,61.8,57.14285714,44.55297824,34.33370731,13.89516545,0
2034,142441,8643775,61.1,61.1,60.5,60.5,104,59.7,61.3,50.0,46.36865216,38.3453556,22.29876246,0
2035,139241,8397396,60.5,60.5,60.2,60.3,115,59.7,61.2,40.0,44.24576811,40.31215977,32.44494308,0
2036,149078,9077421,60.5,61.1,60.5,61.0,133,59.7,61.2,86.66666667,58.38606763,46.33679572,22.23825191,0
2037,182407,11104627,61.0,61.1,60.7,60.8,177,60.0,61.2,66.66666667,61.14626731,51.27328625,31.52732413,0
2038,244317,14935267,61.0,61.3,61.0,61.1,189,60.0,61.3,84.61538462,68.96930641,57.17195964,33.57726609,0
2039,100000,6097200,61.1,61.2,60.8,61.0,81,60.0,61.3,76.92307692,71.62056325,61.98816084,42.72335602,0
2040,254572,15622564,61.0,61.6,61.0,61.6,198,60.2,61.6,100.0,81.0803755,68.35223239,42.89594618,1
2041,280002,17169222,61.6,61.8,61.1,61.1,224,60.2,61.8,56.25,72.80358367,69.83601615,63.90088112,1
2042,209131,12696819,61.2,61.2,60.4,60.4,161,60.2,61.8,12.5,52.70238911,64.12480714,86.96964319,0
2043,213095,12927746,60.5,61.2,60.3,60.3,198,60.2,61.8,6.25,37.21825941,55.15595789,91.03135487,0
2044,98864,6020004,60.3,61.1,60.3,61.0,80,60.3,61.8,46.66666667,40.36772849,50.22654809,69.94418729,0
