stockID,profit
1210,53.81
1231,0.17000000000003013
2344,6.034999999999997
2449,5.170000000000002
2603,-91.04
2633,29.984999999999996
3596,5.5
1215,0.44999999999998863
1232,164.85
2345,45.599999999999966
2454,1067.5
2607,-27.60000000000001
2634,0.8399999999999963
3682,8.423
1216,69.41000000000003
1434,1.6799999999999962
2379,563.95
2455,10.700000000000017
2609,33.55
2637,-67.05999999999999
4904,-60.45
1218,27.915000000000003
1702,1.8399999999999963
2408,13.38000000000001
2459,58.53
2610,2.2000000000000064
3034,-21.650000000000034
5388,66.60999999999999
1227,53.91999999999998
2330,2.6000000000000227
2412,0.45000000000000284
2468,0.24999999999999822
2615,-141.45
3035,-19.849999999999994
1229,-1.259999999999998
2337,42.834999999999994
2439,13.46999999999997
2498,1.25
2618,28.43
3045,-96.89
