,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
1443,750606,16570582,22.25,22.25,22.0,22.1,417,21.75,22.55,43.75,50.0560291,55.91907432,67.64516476,0
1660,573130,21634604,37.65,37.95,37.4,37.8,426,36.95,39.2,37.77777778,32.328186,33.72810473,36.5279422,0
902,253036,3741083,14.75,14.9,14.7,14.8,159,14.7,15.4,14.28571429,17.44967609,17.43425091,17.40340054,0
544,389563,6165341,15.8,15.95,15.7,15.8,148,15.15,16.1,68.42105263,44.45476792,37.53094881,23.68331061,0
1390,1139899,28531825,25.2,25.2,24.9,25.0,490,24.9,25.65,13.33333333,44.10195371,60.96288701,94.6847536,0
359,468221,8444410,18.0,18.2,17.9,17.9,217,17.7,18.2,40.0,37.85105569,35.91930724,32.05581032,0
2122,584266,33762334,57.5,58.0,57.2,58.0,441,56.6,58.3,82.35294118,47.07441821,38.16460449,20.34497705,0
1714,2034558,94251415,46.2,46.55,46.0,46.25,1166,44.2,46.55,87.23404255,62.08980941,50.42632742,27.09936346,0
509,706045,10171097,14.4,14.45,14.35,14.45,257,14.0,14.9,50.0,46.04885721,44.5875246,41.66485939,0
974,288550,4482518,15.55,15.55,15.5,15.55,125,15.3,15.65,71.42857143,76.58581891,78.38188885,81.97402872,0
1953,2033326,123272686,61.3,61.3,60.2,60.5,1404,60.2,64.3,7.317073171,11.149597,14.63710107,21.61210921,1
1332,363125,9984781,27.65,27.65,27.4,27.5,209,26.65,28.3,51.51515152,59.88984564,57.03313433,51.31971172,0
1776,6253255,333790807,53.4,53.6,52.7,53.5,1359,52.7,57.6,16.32653061,41.55175893,58.52961389,92.48532381,1
2334,22415506,1594156137,68.5,72.8,68.5,71.5,12790,61.5,72.8,88.49557522,76.10209137,62.30995952,34.72569582,0
177,12744267,250460504,19.3,20.05,19.1,19.7,3390,17.35,20.05,87.03703704,74.41752681,61.79065371,36.53690751,0
746,461776,6968840,15.05,15.2,15.05,15.05,169,14.85,15.3,44.44444444,45.55261114,41.73332496,34.09475262,0
194,9716527,193264493,19.65,20.15,19.6,19.95,2238,18.95,20.15,83.33333333,60.11711794,48.42440249,25.03897159,0
1101,1993499,51832740,26.35,26.35,25.85,25.9,771,24.4,26.7,65.2173913,76.87087662,75.97625373,74.18700795,0
1719,1106484,49575597,45.05,45.05,44.75,44.75,662,44.5,46.55,12.19512195,35.26923235,45.69552536,66.54811138,0
2498,503866,31240134,62.4,62.4,61.7,62.2,402,61.5,65.8,16.27906977,19.99173633,26.7305389,40.20814402,0
1801,2683136,149037980,55.4,56.5,55.0,55.1,1116,54.2,59.8,16.07142857,23.49364395,34.62778529,56.89606798,1
1009,676509,10789384,15.9,16.0,15.85,15.9,243,15.7,16.0,66.66666667,62.79273603,55.47963685,40.85343848,0
1656,964402,37086520,39.0,39.0,38.25,38.25,525,37.9,39.5,21.875,40.63607928,45.17216362,54.24433229,0
993,605191,9551595,15.75,15.85,15.7,15.8,185,15.55,15.85,83.33333333,57.40483422,50.51138047,36.72447296,0
301,6748555,128366404,18.05,19.3,18.05,19.3,2004,16.8,19.3,100.0,73.9271671,56.84593915,22.68348327,0
2435,448220,29052840,64.7,65.1,64.5,64.9,340,64.1,66.4,34.7826087,29.00120002,30.46948817,33.40606448,0
2051,625663,39905657,63.2,64.3,63.0,64.0,429,62.1,64.3,86.36363636,67.75848102,52.31683824,21.43355268,0
1259,8099071,222538586,27.0,27.95,26.9,27.8,2612,24.2,27.95,96.0,90.31334832,83.74292775,70.60208663,0
1888,1638668,109322112,67.5,67.8,66.4,66.4,1087,63.2,68.2,64.0,71.43703653,67.38717071,59.28743907,0
2231,914861,48828767,54.1,54.1,53.1,53.2,712,53.1,57.9,2.083333333,25.51921939,39.21016635,66.59206026,0
2536,474675,29221103,62.0,62.2,61.3,61.5,329,60.1,63.7,38.88888889,49.61721277,59.86802052,80.36963602,0
675,3418755,50789625,14.4,15.1,14.4,15.1,1080,13.85,15.1,100.0,78.30647673,66.48320079,42.83664891,0
2278,356374,18459848,51.5,52.0,51.5,51.7,244,50.7,52.1,71.42857143,52.91625683,40.9759698,17.09539574,0
1414,537122,11606597,21.6,21.75,21.4,21.75,289,19.55,21.8,97.77777778,92.47226174,88.1708695,79.56808502,0
1750,1868172,89587455,48.0,48.5,47.4,47.65,1122,46.3,49.0,50.0,36.6889063,29.51836332,15.17727738,0
1895,1003483,65296939,65.1,65.5,64.9,65.0,614,64.2,68.2,20.0,26.73922154,33.82845127,48.00691073,0
2874,270547,21521585,79.9,79.9,79.3,79.6,467,78.5,81.0,44.0,63.95526585,73.52867231,92.67548525,1
1488,558658,12502166,22.75,22.75,22.2,22.25,287,22.2,23.4,4.166666667,17.3557453,26.29551971,44.17506852,0
1295,774191,21509504,28.0,28.05,27.5,27.95,536,26.8,28.35,74.19354839,74.36292789,65.61656224,48.12383094,0
2777,962404,75549515,78.4,79.0,77.7,78.7,975,74.7,79.5,83.33333333,75.53834211,64.59193126,42.69910957,0
126,6304450,107390907,16.9,17.3,16.7,16.9,1866,16.7,18.6,10.52631579,28.96908293,44.61882293,75.91830294,0
438,255200,3585219,14.05,14.2,13.95,14.1,139,13.3,14.2,88.88888889,68.64837324,49.64868418,11.64930606,0
2633,3068073,203139539,67.6,67.8,65.7,66.0,2159,65.7,68.8,9.677419355,31.57354628,35.54657007,43.49261764,1
1245,401309,10022318,25.05,25.05,24.85,24.95,211,24.75,25.45,28.57142857,34.45931434,50.25609461,81.84965514,0
