,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
227,11594672,184713353,15.85,16.15,15.8,15.8,2133,15.35,16.9,29.03225806,46.05977144,47.6017951,50.68584241,0
2098,29973386,2436474298,83.0,83.0,80.2,80.2,14037,79.5,89.7,6.862745098,48.35969945,61.92789609,89.06428938,1
2451,5538692,463592828,83.3,84.1,83.3,84.1,2688,78.3,86.2,73.41772152,75.40924349,78.29909557,84.07879974,0
2846,44724082,3049112457,69.0,69.4,67.2,67.3,22269,67.2,76.8,1.041666667,27.63597033,44.77536802,79.05416341,1
1288,1359799,106772529,79.0,79.0,78.2,78.3,850,76.1,79.7,61.11111111,62.4492298,57.55537872,47.76767654,0
792,4497272,15832466,3.69,3.69,3.45,3.51,279,2.84,4.0,57.75862069,69.27445317,77.94941255,95.29933133,0
689,283963,476708,1.71,1.71,1.65,1.66,112,1.53,1.75,59.09090909,55.63773825,44.58857953,22.49026209,0
1449,2398362,88547047,36.8,37.35,36.4,36.8,1466,36.35,38.8,18.36734694,17.54184733,19.6400371,23.83641662,0
175,3597196,72344663,20.5,20.5,19.95,20.0,1315,19.7,21.95,13.33333333,41.88444182,49.35590448,64.2988298,0
1501,3137032,118982004,37.65,38.2,37.6,38.0,1770,37.6,42.3,8.510638298,16.58710945,23.39615918,37.01425865,0
1889,5328207,342360142,64.9,65.0,63.7,64.2,2924,62.1,65.2,67.74193548,47.47675205,42.54811787,32.69084952,0
283,10029874,158801546,15.75,16.05,15.7,15.8,2711,15.6,18.8,6.25,14.55087721,26.87304157,51.51737028,0
731,651611,1120748,1.72,1.72,1.72,1.72,148,1.22,1.72,100.0,92.55758249,78.80151914,51.28939246,1
356,6230283,65442677,10.7,10.8,10.15,10.4,2013,10.15,12.1,12.82051282,17.3820407,27.14645011,46.67526893,0
2543,13564275,802191101,59.7,59.8,58.6,59.2,6241,58.5,65.3,10.29411765,15.41436075,28.41232422,54.40825115,1
2652,12025256,728769009,61.2,61.9,60.1,60.5,6522,60.1,63.3,12.5,49.95223791,66.03304156,98.19464886,1
1005,10648063,54624555,5.13,5.13,5.13,5.13,621,5.13,6.27,0.0,48.99036222,72.09062915,118.291163,0
1893,60543704,4423954044,68.9,75.5,68.9,75.5,21237,62.1,75.5,100.0,76.04556262,61.88212808,33.55525901,0
2364,20625510,1451213771,72.2,72.2,69.2,69.6,10178,67.3,72.5,44.23076923,56.7990347,51.50752244,40.92449791,1
833,5322450,31666896,5.95,6.1,5.76,5.76,487,5.19,6.43,45.96774194,43.54833182,44.83722359,47.41500713,0
1943,13535217,1131524526,84.5,84.8,82.9,83.2,6456,81.3,90.2,21.34831461,40.70987698,43.0657751,47.77757134,0
2053,48293037,4858447692,96.1,104.0,96.1,102.5,20834,90.7,104.0,88.72180451,79.08962039,73.07864306,61.05668841,0
821,13819913,85559458,6.3,6.3,5.9,5.9,1186,4.13,6.58,72.24489796,81.68290199,87.47940905,99.07242319,0
2366,8639442,608586915,70.9,70.9,70.0,70.3,4457,67.3,72.5,57.69230769,56.86794705,54.39394048,49.44592736,0
