,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
650,111060,5622960,50.5,75,74.1641434,78.62821928,87.55637103,57.12033690921997,58.62069886246353,0.0324940084960429,-50.0,-33.33333333333373,0
1759,44622,3868414,86.7,47,75.43964556,79.62762535,88.00358494,63.45423862801884,56.98353244866965,0.5542850141519956,-100.0,-36.84210526315793,0
174,91215,3689767,40.5,72,80.34810826,72.19390956,55.88551217,58.60135105480091,65.51954993307004,0.0870528505568059,0.0,0.0,0
2606,51451,6097669,118.5,64,38.43583799,34.5554919,26.79479973,37.68437220386443,37.62944223013511,-0.7384156212792123,0.0,-66.66666666666666,1
2168,47530,4595973,96.7,50,28.92671404,34.24344259,44.87689971,36.90661998449114,25.885104416706245,0.5091007602870298,-95.833333333333,-97.43589743589722,1
488,52000,2440950,47.15,45,37.81861592,34.82015182,28.82322361,42.43697375652847,40.71932636901587,-0.2599294389009977,-90.9090909090914,-90.9090909090914,1
603,67153,3379771,50.3,31,44.01427819,43.51924162,42.5291685,52.76618524481237,54.82676300982418,-0.0214315434856678,0.0,-47.36842105263174,0
2136,30360,2924720,96.2,27,75.16217045,80.82923765,92.16337205,58.531091314910746,53.9051835515164,0.343763416373868,-100.0,-29.411764705882305,0
2229,8400,826639,98.4,17,66.1946071,61.29250138,51.48828995,57.93612868237148,64.43905307993786,-0.0424882054675673,0.0,0.0,0
164,71000,2826550,39.75,35,21.59826293,30.30792062,47.72723601,47.59464502564076,45.082156053259446,0.1000673581461323,-16.66666666666588,-80.0,0
1254,370150,25913175,70.3,268,53.47596315,53.44974358,53.39730444,49.526603567800464,50.82090911600857,-0.1756859097331553,-26.47058823529424,-26.47058823529424,0
3,311602,11982795,38.4,162,51.11111111,49.13580247,45.18518519,41.17647058823333,58.33333333333136,0.0070497721326595,0.0,0.0,0
1225,190313,13546710,71.1,103,31.47950081,39.98842458,57.00627212,40.55570606895761,31.269170364081404,0.0678935424881221,-100.0,-100.0,1
1871,34500,3163750,92.0,32,57.21471259,55.02118977,50.63414412,47.76351082586258,50.82216501519044,-0.3417620553611508,-55.5555555555552,-41.17647058823539,0
194,259157,11042971,42.7,145,64.02382918,66.25472156,70.71650632,72.18962486236514,76.09297228932023,0.3698552869996562,0.0,0.0,1
2154,89239,8996578,101.5,100,78.59573977,73.125459,62.18489746,87.53768867742376,94.78196216100912,0.4898683148268846,0.0,0.0,0
849,47131,2662627,56.7,45,35.16852687,32.00370965,25.67407519,54.86112660635288,50.65322156466253,0.815745783806557,-59.99999999999943,-59.99999999999943,0
984,65101,3994362,61.8,48,34.52202506,27.19965719,12.55492145,51.49949647120549,58.03411801333623,-0.0240856106992192,0.0,-33.33333333333373,0
2075,60385,5683281,94.0,46,39.13728881,47.16434542,63.21845864,44.4075531052542,30.2241661947823,0.2635830502766783,-100.0,-100.0,1
1592,126122,10036682,79.8,71,77.72128316,80.54908436,86.20468676,63.48297371408367,66.86579091956823,0.3337690014532211,0.0,-25.000000000001776,0
1481,16559,1241080,74.9,18,36.10360204,37.39536828,39.97890075,49.22497644668859,45.73073300346097,0.1702541382290207,-100.0,-39.999999999997726,0
2457,64120,7705575,120.0,77,11.09048065,10.97488061,10.74368054,32.06645098155986,31.968176514378797,-0.6399493399936489,-50.0,-81.81818181818183,0
1071,774096,58504529,76.7,523,74.91594493,61.82033661,35.62911997,81.30087386202844,85.34249461590578,1.7329443735876409,0.0,0.0,0
1790,40134,3709871,92.2,49,57.86581203,60.23002331,64.95844587,58.29575754101707,50.99659359151998,1.3910517795358397,-52.38095238095225,-58.33333333333318,1
1237,90141,6376811,70.8,72,41.08606074,32.03496153,13.93276312,50.25428475447574,59.05155363470105,-0.3464410516913734,0.0,-15.384615384615635,1
2398,16101,1958868,121.5,37,74.36755061,60.11306431,31.6040917,58.25031410545396,64.33226695835442,-0.1473448147168483,-20.0,-16.666666666666664,0
697,70109,3593568,51.9,51,33.97148193,32.21998337,28.71698625,49.42034748612325,52.02216844982307,0.0496455627415379,0.0,-46.15384615384636,0
1166,267997,19323984,72.0,187,26.3994806,34.94511811,52.03639312,44.07314614486703,39.32868386208758,-0.3433054884953876,-100.0,-81.81818181818198,0
1509,43328,3204200,74.0,32,38.46645814,38.96485523,39.96164942,47.0164469900273,46.729547751820846,-0.1559054159074505,-100.0,-55.5555555555552,0
1840,103533,9724768,95.0,90,83.33394878,69.99979224,43.33147917,81.2401526509173,90.31564319516802,0.2185620002852403,0.0,0.0,1
2322,53208,6055920,114.0,64,27.58923849,39.8829269,64.47030371,55.51193916464793,45.102897368009806,2.528970197528297,-100.0,-100.0,0
351,93038,4921557,53.0,60,79.1097506,66.1745124,40.30403602,51.05801493296887,53.5008598114208,-0.0310568873225591,-50.0,-11.764705882353088,0
1825,30512,2818757,92.3,42,91.58356705,87.56651358,79.53240663,59.56103327856622,66.13030398196125,0.156102543294352,-40.00000000000057,-20.000000000000284,0
2141,32426,3124322,96.1,38,48.67199472,65.59133114,99.43000398,49.96525914673444,42.307203512040346,0.4240381641911168,-92.85714285714327,-92.85714285714327,0
1992,15446,1414296,91.3,20,80.77701355,82.61692492,86.29674765,52.63178532355759,46.498463629574005,0.1547634930301256,-100.0,-38.46153846153855,0
521,83062,4032156,48.5,68,67.60448244,69.83891165,74.30777007,64.09926055559018,67.08986055850144,0.1547490938333203,0.0,-11.111111111111288,1
1623,78223,6185140,79.1,78,46.90588207,48.58390135,51.93993991,51.84774828696179,56.567301046606346,-0.1269341094473418,0.0,-46.153846153846914,1
43,49330,1872823,38.0,29,57.09559916,72.32701887,102.7898583,59.96573053378083,59.58498384820038,0.1807582189499835,-57.14285714285773,-50.0,1
96,55012,2182992,39.85,40,28.47898122,31.83573855,38.54925321,41.070468129625176,39.70184644686242,-0.0299850643025643,-38.46153846153855,-68.00000000000011,1
1186,450600,30997239,69.7,328,41.27900455,47.42769054,59.72506252,36.218511609618446,32.32981558576079,-0.295280132264678,-85.71428571428552,-85.71428571428552,0
2653,20869,2466972,118.5,40,61.04289937,60.65143578,59.86850862,48.24430040737369,49.13484384860759,-0.2059046276430068,-66.66666666666666,-50.0,1
591,90050,4505775,49.75,58,35.62986051,40.16250424,49.2277917,44.37507177705157,41.121546034959984,-0.0303478276529628,-100.0,-100.0,1
1345,132100,9997600,75.8,106,29.1363601,31.53257111,36.32499313,24.12355109478431,13.87294001909359,-0.2048298767065061,-100.0,-100.0,1
2295,61690,6525982,106.0,57,89.45156599,88.90244391,87.80419973,82.3595573564183,89.47017303410183,0.7970581812680254,0.0,0.0,0
1347,44225,3352675,75.6,37,19.29869973,24.97551396,36.32914243,29.34910164379397,26.700582096168247,-0.3462527938561229,-73.68421052631587,-83.33333333333334,1
1301,116460,9265460,79.5,70,51.68704698,63.59054071,87.39752817,68.26608026435316,58.0335144804538,1.8420441479088012,-100.0,-100.0,0
1628,70000,5547500,79.1,55,65.01514623,58.98036758,46.91081029,52.01447442850287,56.88894453114397,-0.082987332536022,0.0,0.0,0
1060,215009,15023527,70.7,179,83.80495687,81.76847096,77.69549913,81.09404823717291,83.12603508311179,1.547352437278998,0.0,0.0,0
841,56376,3192069,56.6,47,45.77774084,58.58187665,84.19014827,58.38261090983573,50.28438370287175,1.0122214364686248,-95.23809523809518,-63.15789473684211,0
992,85068,5247142,61.8,66,50.87901772,51.27565558,52.06893128,51.74652577545843,56.17403749468055,-0.0351457548518304,0.0,-14.285714285714576,0
1604,348756,28279710,81.5,233,78.04253073,67.5067645,46.43523203,78.10458453560646,87.4500917382863,0.2578717753955787,0.0,0.0,1
