,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
1269,4251329,325186629,77.0,2336,50.04388295,52.53638282,57.52138255,59.13824045694981,58.2529240047238,1.3377514714558767,-5.882352941176175,-11.111111111111288,0
654,6093718,455017750,75.2,3046,77.30482666,64.63977964,39.30968558,65.16186244874889,73.00802590689975,1.16268235919657,0.0,0.0,0
470,10475346,588147576,56.0,3715,46.60141039,55.70100308,73.90018847,59.84444295415078,55.019548322395096,2.1337184449430167,-72.972972972973,-51.92307692307695,1
1316,7044094,515665362,73.1,2696,52.08842131,57.28212509,67.66953265,42.73483859530079,41.06400518642715,-0.4917177367943349,-85.71428571428645,-52.17391304347845,0
264,1715947,73218390,42.8,636,86.67738876,71.27698399,40.47617446,64.39011431426567,76.5181088000675,-0.0917435965467586,0.0,0.0,0
2476,7043655,469585595,66.7,4393,36.82399727,49.18003446,73.89210886,31.350516410551123,28.52193747379628,-0.9932540487089516,-100.0,-100.0,1
911,2409903,178362271,74.0,1506,63.91760096,60.05622823,52.33348276,47.12738744925367,47.57136067011728,-0.6997693326781755,-100.0,-53.12500000000004,1
2606,3870112,237822482,61.3,1850,10.69735965,15.55108382,25.25853217,34.29722608844742,28.513581424901822,-0.7470771051550413,-100.0,-100.0,0
589,2931866,199098417,67.7,1516,73.946441,73.85079714,73.65950942,63.48888041629896,60.89524319828645,1.4245761705679152,-100.0,-31.914893617021256,0
1262,2993671,229498696,76.1,1628,73.10586687,81.86659376,99.38804754,57.58996515532656,43.85715487364951,1.83916548647732,-100.0,-52.38095238095257,1
2290,1140145,84637853,74.2,471,69.41012197,76.19246629,89.75715491,58.70804267123061,53.58394586971886,0.4995165713637132,-100.0,-45.45454545454511,1
708,2137061,144685528,67.8,1122,42.48539867,38.97952807,31.96778686,33.77988041650118,34.760074373214124,-1.0718209014355229,0.0,-78.94736842105299,0
2629,2949068,182326516,62.0,1936,66.3238748,47.96501662,11.24730025,54.05175744790016,61.19685819664233,-0.3301438202361532,0.0,0.0,1
2306,1841271,140159938,76.3,957,67.22689491,59.32145243,43.51056747,62.994241554176696,65.39131314740212,0.5988464455125071,0.0,0.0,1
1881,3203369,231847031,72.3,1147,21.90367509,28.52906676,41.7798501,33.55593724098869,29.341255537153145,-0.7205658860339875,-100.0,-100.0,1
2141,2447784,177134073,72.0,1524,59.97409082,74.73001527,104.2418642,45.39094202156707,39.97034612746829,-0.2797750884171922,-100.0,-100.0,0
787,6184233,426557193,69.3,2168,67.92187863,53.56176013,24.84152312,44.01950726483966,51.95599894822356,-1.0700305196910518,0.0,0.0,0
769,7285127,542752879,75.1,3360,82.72173873,75.27836255,60.39161018,64.4544119211098,73.22306980336651,0.307056835298259,0.0,0.0,0
798,4403143,299534530,68.0,1653,27.72443255,36.4880372,54.0152465,38.33220452670796,35.873855418011274,-0.7073750499414979,-64.99999999999986,-76.66666666666657,0
908,2773718,208204692,75.7,1531,63.01920055,45.07597512,9.189524269,57.89676386350814,71.12097233650194,-0.9153925523830992,0.0,0.0,0
2131,3742965,269040667,71.8,2145,59.94119207,42.39983682,7.317126327,48.23718420875795,62.87164657555727,-1.072521840932288,0.0,0.0,0
512,13052131,735955029,57.0,3388,57.41478316,45.94639307,23.00961288,55.95808619312326,63.47803579049405,-0.2613096765624348,0.0,0.0,0
1370,2389122,165734538,69.0,1456,14.40505666,30.55382769,62.85136973,32.551282115471544,24.40435873291953,0.0850607133570592,-100.0,-100.0,0
1446,15585450,1091667167,70.4,3041,25.05950982,26.38969004,29.05005049,45.04046111355125,41.44239932837726,-0.010864072425126,-59.99999999999943,-79.99999999999972,1
1634,6996136,518685416,73.9,3180,54.50773233,58.7742024,67.30714253,42.73965453676748,39.66898556452104,-0.4452016582474336,-100.0,-75.99999999999966,0
766,4672321,341948933,73.0,2381,70.91927782,70.93123696,70.95515522,49.84217052877787,45.63436630469277,0.2552344094591331,-100.0,-52.38095238095225,1
1796,2163729,164498217,75.9,1230,74.73325708,76.81856506,80.989181,58.01174253023959,56.55047083866621,0.4217670525856876,-59.99999999999943,-29.99999999999972,1
535,5951391,354389707,59.3,3074,50.18284178,53.70192031,60.74007736,53.99646183001002,50.13683338152151,0.7222305898711903,-100.0,-58.69565217391308,1
