,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
2156,24034958,2013753635,82.3,13190,21.18650606,27.51130759,40.16091064,29.5597736795074,23.93042850186179,-2.341639161144872,-100.0,-100.0,0
2455,3263832,540616112,165.5,2210,77.66990295,74.60902897,68.48728102,49.30508621867959,55.16536555316433,-2.7374683784325904,-40.0,-16.666666666666664,1
1141,665427,11561635,17.4,275,22.82306052,18.7724208,10.67114138,31.470057723877463,28.162528282428145,-0.264833854072955,-62.50000000000022,-84.21052631578961,1
1558,6330061,195879493,31.2,3212,30.6478694,23.72245125,9.871614951,41.17013623937769,46.26157376574207,-0.835978577196953,0.0,-54.71698113207547,0
499,1832600,25493680,13.85,431,58.14235559,60.92472829,66.48947371,51.90193669026743,56.9542263617552,-0.1637413379193632,0.0,-38.888888888888914,0
2150,4523046,436670742,96.5,2922,29.24315183,28.60713624,27.33510505,41.86710931024397,40.96285430168516,-0.2840583540932005,-30.37974683544309,-71.05263157894737,1
417,938750,12517473,13.4,314,55.64442073,61.76398791,74.00312226,44.11406631800669,48.7163105687379,-0.7580489850124579,-66.66666666666656,-52.63157894736836,0
1554,7407123,230758961,31.05,3893,21.63566503,23.61719917,27.58026746,34.50808621166713,30.07288144513656,-0.4392420926035398,-100.0,-100.0,1
1836,11116201,819331774,74.0,7015,63.81073248,73.60400797,93.19055893,61.13361850907273,57.66010509209235,1.742007122502349,-60.56338028169015,-50.58823529411761,1
1674,6676215,309789796,46.05,3288,44.72200713,44.3890971,43.72327703,37.70328359167892,31.733524516810167,-0.5458239864213748,-100.0,-96.49122807017562,1
835,2183667,38897633,17.85,767,49.45286958,48.3809733,46.23718074,55.889636797090624,56.97537141678113,0.1950276599224222,0.0,-33.33333333333314,1
2162,11129795,905464496,82.9,6849,26.63734632,26.0817625,24.97059488,35.81808194603708,34.31139404695975,-3.85721658575039,-100.0,-93.81443298969064,1
102,2788949,43984148,15.65,738,67.81442458,58.61110803,40.20447491,52.92686638925053,57.33718804069792,0.0022630767089874,-16.666666666666373,-4.761904761904665,0
509,8384248,125501720,15.1,2184,60.9284606,59.16805021,55.64722943,66.52183961148327,72.46336314919014,0.0873472024637029,0.0,0.0,0
22,3515705,49109697,14.0,1004,43.87797599,33.23346101,11.94443106,41.65149626687341,46.7378994583403,-0.2237498326340287,-57.14285714285716,-41.17647058823527,0
2600,3573792,825995160,229.0,2819,18.22966891,25.03813079,38.65505454,38.003822862561606,26.67158910343863,4.139644813297247,-100.0,-100.0,0
1592,18000686,872320309,48.8,8461,90.67140972,84.33203811,71.65329487,81.26304281611553,87.97194402896397,2.5985570809625447,0.0,0.0,0
184,29163041,633352220,21.7,7583,79.01810257,81.27420908,85.78642209,74.36597315744548,73.726586454769,1.0585264084857546,-34.615384615384635,-12.857142857142836,1
1389,481891,6459637,13.5,263,84.71763862,72.97600286,49.49273134,57.66869760409592,71.08236188166467,-0.3040556013431523,0.0,0.0,0
569,7622377,139182696,18.15,2364,69.55370788,61.05258586,44.05034182,55.5473306085774,61.05961403389848,-0.0843973020410504,-13.333333333333522,-13.333333333333522,0
1001,15064391,257482156,16.9,3853,78.68249625,77.32798907,74.61897472,77.80933208805402,84.24036894798516,0.1678797893792246,0.0,0.0,1
1993,7485982,820146556,107.5,4686,45.78631834,45.95824452,46.30209688,45.62937272991565,38.67758413568266,1.9590913623925728,-100.0,-68.18181818181817,1
2215,4610953,441717628,97.4,3444,53.51514135,52.61728232,50.82156426,52.28172533383938,51.24003824715658,1.5435902336186218,-39.99999999999986,-28.947368421052506,1
2625,3985664,944505704,237.0,1918,59.97011132,60.8959131,62.74751666,52.62140409231272,54.00098861247292,-0.4134093158281648,-36.36363636363637,-31.818181818181817,0
2575,8627082,1985920756,230.0,5306,75.0294506,63.4838146,40.39254259,57.91811315197896,61.94809060095709,4.206815007595522,0.0,0.0,0
534,3162178,58015573,18.35,1146,45.296902,57.19606112,80.99437935,65.36492935884213,59.81389388576572,0.8821911094484194,-45.4545454545454,-56.249999999999865,0
1679,3873845,179219935,46.2,1765,39.84581399,43.1428809,49.73701472,39.80369883418703,36.076971096343335,-0.6510239330450156,-100.0,-92.8571428571426,0
679,2072805,33146480,16.05,545,57.92810416,56.0621745,52.33031519,56.56397497703106,62.5310084158631,-0.0453437386123893,0.0,-19.999999999999645,0
3,12326175,192573967,15.35,2658,29.01234568,38.47736626,57.40740741,0.0,0.0,-0.0052550315557122,0.0,0.0,0
2638,2431771,532082620,219.5,1675,17.22010157,17.39738942,17.75196513,43.79344846038368,44.43446618821444,-3.128951225336324,-22.22222222222222,-52.94117647058824,0
883,2048845,36112720,17.65,624,19.90760852,25.37041142,36.29601722,34.33609244901046,31.861241754551628,-0.0379012548272887,0.0,-81.81818181818198,0
2163,6103822,510782370,84.3,4017,32.35878184,28.17410228,19.80474317,38.83713213169924,40.363826875423,-3.985364091577123,-75.00000000000013,-79.16666666666669,1
65,11271665,168598575,15.05,2125,40.62286827,35.65826306,25.72905263,59.53263337886936,62.303409763045096,0.1783042170591401,0.0,0.0,0
1783,9203815,584188848,64.0,4638,56.07214847,62.18539713,74.41189443,60.74391253908978,59.18807793730772,1.684864925698342,-56.25000000000006,-30.303030303030297,1
570,3765041,67650620,17.9,1189,68.24413858,63.4497701,53.86103313,52.15793047892435,54.59164844630455,-0.0716640195079865,-30.00000000000019,-30.00000000000019,0
