,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
2129,11776865,387311395,33.0,4051,62.10761058,47.30374885,17.69602538,37.23610088450761,42.09765468243214,-2.385110151703952,-70.5882352941177,-24.000000000000057,0
629,6687796,54834955,8.17,2088,8.18859856,20.53376653,45.22410246,25.93480475680881,11.547658692635386,-0.035453479552401,-100.0,-100.0,1
982,17745342,119634748,6.71,3821,34.73523167,27.80735792,13.95161042,57.70590984433941,67.14663289705888,-0.0686638483304977,0.0,0.0,0
2430,39748309,1306927666,32.95,13773,84.56942125,75.72168666,58.02621748,62.474745875307725,70.47194117690276,0.012219987882845,0.0,0.0,1
744,12866118,109416355,8.52,3417,29.25216723,38.07356311,55.71635488,53.7690711854474,51.67126969567136,0.1394598866054955,-52.27272727272742,-52.27272727272742,1
1980,19851088,834869353,41.55,8737,36.38397522,31.51829931,21.78694748,44.32934984574172,42.45110896748541,-0.8346346766784268,-96.66666666666686,-72.50000000000014,0
2585,29234199,943180726,32.3,10265,49.36641913,45.13013368,36.65756279,54.239842115631774,60.063729704234845,-0.1355629154405835,0.0,-14.285714285714503,0
841,23101013,180517129,7.94,7174,39.0860419,30.88764843,14.49086148,49.31415466214765,52.66118663270186,-0.0793577611770358,-46.153846153846,-46.153846153846,0
1985,13627668,583708444,42.7,6231,44.37527844,44.62875505,45.13570827,49.52352485955755,49.44909469309234,-0.4948510774652609,-69.09090909090904,-61.29032258064508,0
2119,30177043,1016410304,33.2,11481,10.837249,9.94654492,8.16513676,24.414120974996685,19.455828421680188,-1.493549685855307,-93.87755102040794,-98.37837837837832,1
531,26828947,334658848,12.45,5682,20.72450495,17.25151211,10.30552643,47.46511728394942,46.783630108954576,0.057689373110238,0.0,-40.00000000000057,0
41,18643167,334460821,17.75,4718,71.33725023,66.23060954,56.01732814,56.45343044188683,63.560373315910304,-0.0191285877040523,-21.42857142857125,-17.64705882352929,1
638,25010938,194675034,7.8,4387,10.69723816,6.460740651,-2.012254371,30.040317609788243,31.747044496402843,-0.3045812595744127,-11.764705882353216,-73.21428571428584,0
1600,4793295,12920256,2.75,647,76.65931289,59.94320777,26.51099752,54.95016422765622,65.45709406230971,-0.2030425498089555,0.0,0.0,0
943,4337625,30763673,7.06,1179,58.19541063,44.31112843,16.54256403,48.95872202868568,51.38454519551047,-0.0291325665481792,-60.00000000000036,-31.03448275862094,0
2537,45899556,1653469319,35.9,16585,64.59730707,72.71832799,88.96036984,68.50621571371579,68.20645755487227,1.4412051327959872,-73.33333333333391,-28.205128205128386,0
1250,14334032,98366070,6.85,2975,27.94865415,36.49779083,53.59606417,56.6595264894314,55.06111470830805,0.087609363895277,-8.333333333333888,-65.62500000000011,0
1472,3246635,14445384,4.45,897,25.75277863,37.65752564,61.46701966,36.2183349285974,24.03249194726148,-0.0061432322135726,-100.0,-100.0,0
1652,5684101,23615936,4.16,1004,44.09577392,34.4255359,15.08505986,52.12313972507388,53.45714028495174,0.0865159154301542,0.0,-46.666666666666586,1
67,29656505,651716640,21.75,7023,43.923351,53.82974043,73.6425193,58.7635971986541,52.336424490168994,0.967468316445602,-61.90476190476194,-72.41379310344837,0
2584,19914243,638104894,31.85,7822,40.26584491,43.01199096,48.50428305,49.03665181621128,50.02066563383565,-0.1498375520059406,-58.33333333333344,-46.428571428571374,0
730,46926617,415361340,8.68,9678,84.51137636,83.30528279,80.89309564,67.25286855154587,71.50659936960984,-0.0446723773216644,-34.56790123456802,-21.05263157894744,0
537,37097913,440113518,11.85,7914,18.94697166,22.7476916,30.34913147,35.24351806441156,26.23212254344427,-0.0276929147340079,-100.0,-100.0,0
843,26337807,210838908,7.95,7009,56.46622438,44.37610856,20.19587692,49.41954895054978,51.50694540849926,-0.071838287908052,-33.33333333333343,-43.58974358974348,0
2263,18942194,395236017,20.8,6320,27.93822077,29.16909225,31.63083521,42.93747407671543,32.49996406319548,0.3519887160069704,-100.0,-90.9090909090908,0
407,15983342,176791702,10.95,3696,31.92386034,37.8792766,49.79010911,31.467062267777457,35.5209467632668,-1.4585513206266445,-70.00000000000011,-78.57142857142864,1
2557,52390790,1733090571,32.85,20062,41.02044663,32.57809467,15.69339077,49.54917664774497,53.02953051410757,-0.0824492198735926,-25.80645161290312,-46.5116279069767,0
2365,26031791,716759078,27.4,10282,39.40024435,35.16252913,26.6870987,45.07191253261731,41.933170111704456,0.4374172521450837,-94.73684210526343,-53.06122448979597,0
1813,13394281,166036182,12.45,2311,43.14511143,40.24538853,34.44594274,47.10346348500957,43.61748718077656,0.376367445628212,-39.28571428571432,-54.05405405405407,1
98,10742828,224926892,21.15,2903,45.76522773,37.87220309,22.08615382,50.66161260908368,56.24379156532101,-0.0873198643919437,0.0,-37.20930232558145,1
1875,76477303,1345457151,17.2,18788,73.67877925,70.42770478,63.92555585,59.56391271075975,62.44585605344189,0.1543249103456692,-30.76923076923092,-23.529411764705998,0
1328,7694597,54482848,7.06,1852,26.9160414,21.83860188,11.68372285,41.77401960329829,42.7092718424024,-0.0371085833813213,-33.333333333333584,-68.75000000000013,0
1118,49442146,411765459,8.26,8643,68.53045289,59.99906179,42.9362796,73.84591683299173,77.29554521363721,0.1501749022500446,-17.307692307692292,-15.38461538461536,0
652,16534404,135018956,8.11,4296,85.59238525,76.62671363,58.69537039,57.45975253640127,66.84349380900606,-0.2618286144830822,-27.77777777777784,-12.500000000000028,0
2270,24663482,536905604,21.7,7868,55.66266397,38.39452832,3.85825702,57.995129926034814,68.24890118003623,0.1131205341760986,0.0,0.0,0
582,10928544,104276908,9.51,3158,10.14729654,16.12001584,28.06545445,33.76315934304232,31.35206480558116,-0.3607587295064839,-100.0,-100.0,0
1426,7787578,32862391,4.2,1561,18.67750339,17.00291793,13.65374702,35.23449614457611,32.52172301138801,-0.0910282566757941,-76.47058823529409,-88.23529411764704,1
259,29179681,642859554,21.9,7526,74.26429782,74.76208543,75.75766067,69.83958753030912,69.42700476484994,0.5854055623581519,-44.4444444444448,-10.810810810810956,0
2556,89607481,2949223273,33.25,33586,35.56913148,28.3569187,13.93249313,53.16698274702085,60.5514797585867,-0.0560420708911896,0.0,-27.906976744186085,0
68,46798977,986293522,20.55,11323,30.73150936,46.13033007,76.9279715,46.63853764003299,35.17274883809343,0.9300512564343888,-100.0,-100.0,1
2101,13452273,562772877,41.85,6103,24.1754661,27.52007233,34.20928479,45.76517008278233,50.00888254997192,-1.024646286421704,-25.0,-61.11111111111099,1
750,20882138,183465149,8.77,4210,66.59271736,54.7455055,31.05108177,59.07148500296564,60.34621409201981,0.1252767276730901,-33.333333333333485,-22.03389830508488,1
2311,52019340,1119301004,21.2,14489,51.50440346,37.17696546,8.522089459,47.324508805339335,55.271540651311525,-0.4393926226681043,0.0,0.0,0
473,14360056,166194615,11.6,3760,20.53228422,20.72995162,21.12528644,43.349881514933216,41.90178003643263,0.080186270380127,-21.4285714285715,-71.79487179487184,1
1394,7750375,34232755,4.36,1755,13.73863779,22.17477559,39.04705119,30.25053078535122,27.78540577526835,-0.2607130552322255,-100.0,-100.0,0
562,13919115,144724998,10.35,3610,10.22422809,14.48524432,23.00727677,25.57942198579166,24.124102957613843,-0.3581736881744697,-100.0,-100.0,1
2153,77194833,1817473155,23.55,23936,16.63018306,17.65229188,19.69650951,27.328413986624305,23.61683347226117,-2.2329147791245494,-95.16129032258058,-95.16129032258058,1
751,23474170,209290294,8.97,5669,73.34251333,60.94450811,36.14849767,64.52995287435074,69.9245910439824,0.1310043301550887,0.0,0.0,0
1481,3132990,15005225,4.81,689,71.35709934,66.76645805,57.58517548,57.33916203213568,61.949708849109584,0.0031640829780568,-25.000000000000558,-5.263157894736965,1
1175,12780707,86620192,6.82,3210,14.79969375,11.96988961,6.310281333,17.136500010380995,7.332322351349646,-0.143498859289137,-100.0,-100.0,0
968,6179039,40761441,6.57,1655,51.30985663,50.51447537,48.92371283,41.09337593081387,43.320370606843525,-0.1177037193480401,-81.81818181818144,-40.624999999999936,1
2508,69451615,1816597358,26.45,25778,35.64098561,23.41027749,-1.051138757,41.774269564974425,49.78781015064652,-2.8712674846350565,-3.57142857142862,-37.58865248226953,0
2634,33470420,979561138,29.05,12305,14.94522322,28.81160383,56.54436503,29.875302256180163,14.656538904842431,0.2569427396324613,-100.0,-100.0,1
1397,9183786,37352306,4.12,3370,19.03917441,17.34437108,13.95476441,31.16141858559519,32.30616307972854,-0.2706377293921686,-70.68965517241381,-77.63157894736842,1
785,11631543,101335309,8.7,3038,53.82646727,52.56776881,50.05037189,53.7906254263965,58.55728660239866,-0.0248404102957009,0.0,0.0,0
2069,25701030,1271116811,49.5,9245,58.37130167,63.13271466,72.65554062,64.67663817627579,70.76152344132267,0.7452204276313693,0.0,0.0,1
1060,39309417,267735486,6.89,5666,82.44554913,71.84151315,50.6334412,77.98107459723359,88.09175139433123,-0.0334818523479342,0.0,0.0,1
653,11357485,90911570,7.96,2743,78.85646196,77.36996307,74.3969653,52.68588511472176,56.89597598332272,-0.2292262179266061,-55.55555555555552,-24.999999999999982,1
225,12523284,228222562,18.1,3179,65.18024051,60.36685694,50.74008979,45.036491502168,47.72078506202588,-0.2310818066847776,-66.66666666666627,-44.44444444444436,0
753,28184977,251748201,8.94,7204,71.7717852,66.08013818,54.69684414,60.74524235928172,62.43222957491364,0.1388839859595393,-13.636363636364113,-5.882352941176696,0
429,26754959,290134892,10.45,6542,31.14484227,46.44199346,77.03629583,34.434309305434645,26.097305287216827,-0.36151231561184,-100.0,-100.0,0
1269,4138084,28220923,6.79,1454,26.48024815,25.56536554,23.73560031,47.73099922976392,44.60798792097703,0.0289682825051876,-62.49999999999972,-82.35294117647044,0
1593,9666771,22704788,2.32,1496,20.15964942,16.19619133,8.269275136,29.61127718576573,28.078189762119383,-0.2398560122178037,-82.35294117647058,-87.5,1
1878,57517400,966424102,16.55,11721,51.5553458,61.21673601,80.53951643,50.14035891526495,44.62862737117003,0.2076580822695889,-100.0,-61.76470588235294,1
1268,6548187,44720866,6.81,1937,22.0733134,25.10792423,31.17714588,49.27666003537765,47.87065025536028,0.0336517177307595,-37.50000000000028,-79.16666666666676,0
584,17727040,162108293,9.11,4246,6.554354019,11.0006875,19.89335446,27.72428788933058,21.20225497276836,-0.3800515922615408,-100.0,-100.0,1
702,26657073,204439963,7.79,6137,12.30280417,13.9109234,17.12716187,27.83489424920026,22.728715546867853,-0.0755726787198081,-81.24999999999999,-84.51612903225805,1
1743,23105724,142460893,6.28,6636,79.79106178,84.13636816,92.82698092,74.47832941464024,69.81206200296285,0.4196441813824691,-53.99999999999992,-18.88111888111885,1
1335,5895675,40921586,6.95,1916,28.03950618,25.02172638,18.98616678,39.020975403501865,40.43720904140935,-0.073965435798489,-49.99999999999968,-61.111111111110894,0
1797,23973769,326650936,13.5,2960,48.53518456,53.6143693,63.77273878,63.41819501717235,59.431407497398055,1.1048434026866016,-23.07692307692312,-42.85714285714285,1
2435,157966339,5499620986,35.75,52662,83.12488233,79.98289622,73.69892398,74.96469884213458,84.24781803217995,0.3980424329740075,0.0,0.0,1
1945,215207958,10009814711,47.4,37227,29.67676388,29.59724204,29.43819836,42.17101622503549,44.40993917093459,-1.0554592165719714,-21.05263157894741,-65.64885496183209,1
405,21511645,235277625,10.65,4843,37.77537694,42.81133183,52.88324161,25.816759900942472,25.132789335218963,-1.4868788802102957,-100.0,-77.77777777777777,0
2342,97411758,2828858082,29.0,27157,85.80615766,84.66999897,82.39768159,84.20342590757531,86.35941960455266,1.1578234664008515,0.0,0.0,1
1065,21073289,153077482,7.2,4500,72.34337328,75.59806618,82.10745198,74.89221944427283,75.4268024345653,0.0998783981973205,-100.0,-14.89361702127657,1
111,23318757,511448597,21.95,5021,80.30959083,70.39560918,50.56764588,62.992377006529296,74.65450299354889,-0.0655493261240479,0.0,0.0,0
1180,6136999,43172099,7.0,1318,55.54441026,40.47718295,10.34272834,37.949077879350526,44.367245768544656,-0.1708874431639706,-29.16666666666676,-41.93548387096776,0
433,14135923,153811753,10.95,3321,25.61275637,29.25649258,36.543965,42.61408749607802,42.93973844924831,-0.382329588469199,0.0,-70.58823529411767,1
1195,15723903,109482805,6.97,3805,49.48161718,30.53283257,-7.364736645,54.296549097963535,67.52686751519978,-0.1425484012533927,0.0,0.0,0
597,18409195,159164421,8.61,3815,49.40362153,44.34516736,34.22825904,39.863915784427775,41.98014865312852,-0.4601191168797352,-69.56521739130454,-55.072463768116094,1
158,26127148,478446999,18.1,7831,6.427625853,9.182844633,14.69328219,23.545685933828747,17.718274031892573,-0.577009952315718,-100.0,-100.0,1
1020,6190521,40529341,6.52,1586,31.29649947,27.12637461,18.7861249,38.5664049678373,38.21242792366833,-0.0551793979694114,-76.92307692307739,-63.15789473684232,1
