,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
568,5545254,1529790858,276.5,3836,38.34586261,43.95159659,55.16306455,41.08087012331731,43.56892502282786,-6.0524369452435485,-68.75,-61.11111111111112,1
2223,3718829,831122104,223.5,2430,32.20956568,27.92544331,19.35719856,45.15219592122205,45.422225802233854,-1.4932457175500256,-63.1578947368421,-63.1578947368421,1
587,9902038,2682315831,272.5,7196,55.75596836,58.17819854,63.0226589,54.67295169844162,61.76031502984885,-4.631756296851262,0.0,-8.695652173913043,1
1646,5555828,1392073000,251.0,3435,66.45664314,47.28722434,8.948386742,62.79882238380965,72.84344098259659,1.2656919352555045,0.0,0.0,0
1710,4684648,1059886300,226.0,3213,54.03806442,49.41092607,40.15664938,51.76394919459123,59.55816479176151,-3.051958071865535,0.0,0.0,0
1749,8703669,1863976166,213.5,5624,65.84966121,52.0131995,24.34027607,49.08495366454634,51.80397159652015,-2.537920793093973,-33.33333333333333,-33.33333333333333,0
1758,4623007,1039644054,224.5,2899,84.57187193,84.58917763,84.62378903,65.53464054251411,76.2723744342067,-0.0718202560103425,-5.88235294117647,-4.3478260869565215,0
479,12879545,3477317925,262.0,9931,29.99533627,32.22901012,36.69635783,27.54547979805093,22.102169050974627,-9.739325915823716,-100.0,-100.0,1
987,4303231,1869182061,431.5,2737,67.88398844,53.84920868,25.77964916,57.28034415011172,61.366008020572735,3.2495424018640966,-6.896551724137931,-6.451612903225806,1
2239,6402195,1587318360,248.0,4083,81.75936096,80.39955468,77.67994212,70.9729748790614,80.31075004817959,2.6088370132111787,0.0,0.0,0
957,4090876,1752040676,426.0,2774,67.48689661,72.45482926,82.39069456,72.24443726268153,69.7373569590841,10.946670250378476,-100.0,-17.333333333333336,1
166,20590725,9694807375,475.0,13322,56.5175216,36.80694697,-2.614202292,68.40903983169984,82.40365473585882,-4.563877778782832,0.0,0.0,0
185,13576575,5981471993,449.0,9777,19.31070522,19.64811736,20.32294162,43.25822536069017,41.2894250724834,0.8805661638576424,-35.483870967741936,-74.68354430379746,0
810,5157799,1813576949,351.0,3454,65.25556699,64.73595956,63.69674469,60.00244918752998,60.57623528804375,3.4781338790031544,-76.92307692307693,-31.25,1
1826,3593374,845877055,235.5,2585,88.08410674,79.56012503,62.5121616,74.60443080760707,82.08949093027313,1.7844172252189985,0.0,0.0,0
