,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
212,2945095,95864600,32.3,1043,46.37835482,43.24575603,36.98055845,55.72358150293583,55.83629685153903,0.2859766638590011,-28.000000000000117,-28.000000000000117,1
6,12629342,463276695,36.5,3737,60.8046993,52.43578104,35.69794453,81.60073597056137,81.55170646715185,0.0400724420920364,0.0,0.0,0
2204,547159,17728116,32.5,375,70.91461943,72.34086934,75.19336915,58.97306651778479,62.49695279390218,-0.1630747281391914,-61.538461538461455,-24.24242424242418,0
20,1261385,41093512,32.6,527,14.20091795,12.91609217,10.34644063,28.89970276632009,25.3804300794295,-0.3450975803337877,-49.9999999999994,-89.83050847457613,0
390,5288476,206650146,39.4,2082,90.83085908,88.50654639,83.85792099,74.5005911432612,76.26078618978687,1.0994726069590033,0.0,0.0,1
1376,1058868,22320728,21.1,602,29.39275051,34.14515598,43.6499669,40.209369326077706,36.65966475537931,-0.2578827688894361,-100.0,-91.3043478260868,0
1366,608232,13092182,21.3,397,31.58308405,45.11292236,72.172599,35.66756107430611,27.87117341779729,-0.3231321523510123,-100.0,-100.0,1
907,748854,18841260,25.2,378,19.37738943,25.77163473,38.56012533,22.375362433268144,12.372904737160798,-0.0054176836034891,-100.0,-100.0,0
1344,1984713,43107879,21.65,1285,7.922293776,9.84848672,13.70087261,15.623265939699865,11.134532813388022,-0.5895434446638596,-92.30769230769248,-95.45454545454557,0
629,787213,23141424,29.4,315,81.34467067,80.57120102,79.02426174,69.96529969599821,73.82588468436893,0.2297167725343486,-37.500000000000334,-13.636363636363813,0
2004,818432,26267687,32.45,522,25.45039842,23.73257891,20.29693987,33.24602222114355,30.43688368388633,-0.0948937804862422,-61.290322580645,-75.51020408163255,1
2376,1837438,72139303,39.4,1075,19.53929131,21.58242447,25.6686908,42.3845196527007,42.0816089466034,0.0399404023105708,0.0,-77.35849056603773,1
439,3302776,94586379,28.85,1320,78.1067281,59.36148399,21.87099578,50.97229242774504,67.00331621876447,-1.2100993038801555,0.0,0.0,0
2208,489796,15609080,31.85,363,33.39054211,50.25060647,83.97073518,48.24808103577555,42.28300283257897,-0.0322004075180206,-86.66666666666649,-91.3043478260868,0
1320,3550690,87137492,24.35,1616,25.34490506,35.78728186,56.67203544,25.296100717588608,19.89815735057424,-0.4677798840420002,-100.0,-100.0,0
43,1278214,40291922,31.7,494,34.5324774,46.26432367,69.72801623,47.91737298068195,51.81324490577993,-0.3559614144845767,-33.33333333333373,-80.00000000000007,0
765,799032,21565264,27.0,428,63.93459805,52.16460326,28.62461368,54.64233949941652,53.3958231163867,0.1693254070313113,-74.99999999999956,-19.999999999999808,1
671,1935373,50840508,27.15,403,51.20668466,31.54835722,-7.768297678,27.15311212024153,30.11583341604183,-0.6219690217920326,-50.00000000000059,-27.272727272727625,0
2087,5416498,222685485,42.0,2739,59.97985409,48.78079083,26.38266432,76.17681644429952,85.55989867013179,0.475443281376098,0.0,0.0,0
2315,3949764,154720368,38.8,2477,77.80950187,75.08755294,69.64365508,73.76770834300827,76.37527436175314,0.640762513123668,-20.000000000000284,-6.779661016949243,0
2488,1240071,50481868,40.7,950,39.76137397,34.33093524,23.47005777,38.663988324496486,39.4528253972472,-0.3600955049193696,0.0,-57.14285714285675,1
1609,3522799,104651524,29.6,2229,45.38546457,53.29933552,69.12707742,60.034236779099984,56.10298586272757,1.2150305434287951,-29.166666666666508,-48.48484848484836,0
1893,1553642,47611188,30.55,819,16.75096331,30.76262637,58.78595249,35.68412512140291,30.90749471069175,-0.485284919811161,-100.0,-100.0,0
374,6823360,229584599,34.0,2640,65.79047257,63.92567317,60.19607439,70.3764665908899,80.66851852821992,-0.1007081776328883,0.0,0.0,1
149,6487316,199502398,30.2,2255,39.30980716,61.84598879,106.9183521,39.94163751867981,29.68076117247853,1.0595063609034183,-100.0,-100.0,1
2044,1743434,59550684,34.2,1040,21.09968175,32.42466132,55.07462047,40.83621020375821,34.48412713706376,0.0344763204277641,-76.47058823529382,-83.99999999999977,1
704,877890,21907565,25.0,553,11.56951584,8.79983062,3.260460177,21.995737502480072,25.146775134192108,-0.536438276652157,-68.42105263157885,-82.35294117647054,0
398,7167163,256326087,36.15,2245,42.80933401,43.72725384,45.56309349,51.1283913337293,49.12474872252418,0.8134747971579855,0.0,-61.32075471698116,1
1392,2170819,41819888,19.0,1234,12.7700091,18.53914866,30.07742777,22.39546306533563,13.65203474740506,-0.434304937900549,-100.0,-100.0,0
1913,2525357,81983370,32.25,1271,61.26536975,58.50357129,52.97997437,58.551703330979485,67.59232227528787,-0.0136384765705425,0.0,0.0,0
