date,real_close,0
29924411.0,245.0,247.5037
36427345.0,244.0,246.97864
16996346.0,246.0,245.90915
3603912.0,247.5,246.41313
19029003.0,246.5,247.3201
35813944.0,244.0,247.82845
35465824.0,245.0,246.43762
25268994.0,245.5,246.16818
21777935.0,248.0,246.13358
20476657.0,245.0,247.095
19946548.0,244.5,247.31798
21608528.0,243.5,246.98668
42756389.0,238.0,245.92822
44768048.0,238.0,243.74017
33230989.0,244.5,241.46634
129890087.0,229.0,241.86108
71901975.0,226.5,236.3427
45206892.0,227.0,231.16922
48975110.0,225.0,228.51775
48176657.0,222.0,226.69887
34443459.0,223.5,224.71556
28500789.0,227.0,223.60464
38436942.0,223.0,223.952
33507731.0,220.5,224.20282
28477722.0,223.0,222.88806
23751759.0,223.5,222.44366
40324763.0,228.0,222.90701
35597934.0,229.5,224.39653
27530377.0,229.5,226.80228
30693910.0,233.0,228.83902
23577637.0,233.0,231.12183
23771769.0,230.5,233.06148
14834107.0,230.5,233.54193
27702737.0,226.5,232.93654
28187541.0,223.5,231.87239
16417815.0,229.0,229.417
22422097.0,229.0,228.60136
26737899.0,228.5,229.57903
13450610.0,229.0,230.14517
16486294.0,228.5,230.31462
17673270.0,227.0,230.3672
25770776.0,225.0,230.03664
49667788.0,221.0,228.63013
96587458.0,224.0,226.21231
36652094.0,224.0,224.31848
31257480.0,229.0,223.92476
27714384.0,229.0,225.97406
30375441.0,230.0,227.74992
25277266.0,230.0,229.04395
24192851.0,227.0,230.14589
22028933.0,226.0,229.92426
30189360.0,229.0,228.99275
36081120.0,232.0,228.4568
36932041.0,226.5,229.42336
49506679.0,231.0,229.31017
61142624.0,225.0,229.01225
40708701.0,226.0,227.68806
32572707.0,226.5,226.75476
44211409.0,227.5,227.06255
49058211.0,218.0,227.00119
43080346.0,214.5,224.0825
40863414.0,213.0,220.02148
38816780.0,212.0,217.12592
36848680.0,216.5,214.46642
33496442.0,214.0,213.83652
28663220.0,214.5,214.40161
15359295.0,216.0,214.76045
18225416.0,214.5,215.60799
31344962.0,217.0,215.59752
41165793.0,221.5,216.40034
20196957.0,222.0,218.41652
19854690.0,220.0,220.6695
23806051.0,220.5,221.3035
30419311.0,224.5,221.57832
16107254.0,223.5,223.10193
22554436.0,221.5,224.31227
45802658.0,223.0,224.4629
43976216.0,224.5,224.60722
103652023.0,237.5,225.28893
52269877.0,241.0,229.93939
27468267.0,241.0,235.00143
21530312.0,240.5,238.87643
30856388.0,241.0,241.274
27129646.0,244.5,242.75574
22803730.0,245.5,244.0309
28202542.0,246.0,245.47726
29777161.0,248.0,246.04318
22775110.0,244.5,247.39822
25165097.0,247.0,247.709
22364568.0,245.5,247.97183
24352418.0,241.5,247.59427
24382432.0,247.5,246.34076
15128655.0,247.0,246.56477
16125492.0,245.0,247.22168
17881194.0,240.5,247.26508
17488913.0,243.5,245.28305
19236321.0,241.5,244.93417
19155966.0,239.0,244.12161
19634474.0,239.5,242.46191
17014437.0,239.5,241.56108
13871127.0,241.0,240.8389
12679240.0,242.0,240.75975
17216240.0,244.5,241.5469
15446943.0,243.5,243.08873
15579299.0,245.0,244.36183
40410531.0,249.5,245.67508
57633182.0,259.0,247.90903
52622808.0,263.5,252.09433
70000506.0,256.0,258.31635
34510555.0,257.0,259.10483
41455615.0,257.5,259.88522
52706459.0,264.0,260.13672
39779488.0,261.0,261.62872
44746728.0,264.0,263.32227
62851599.0,264.5,263.96356
44981276.0,260.0,264.82455
38415965.0,260.5,263.64453
37959180.0,255.0,262.6125
40034219.0,261.0,260.35706
25041358.0,258.0,259.79144
34381152.0,254.5,259.73453
69978711.0,258.0,258.14676
35577071.0,260.0,257.85233
36500974.0,261.5,258.455
24978062.0,263.5,259.58792
25061115.0,263.5,261.21634
38495371.0,265.0,262.5363
39645486.0,262.5,263.83817
22409380.0,263.0,264.05505
38391491.0,257.5,263.96597
25228536.0,260.0,262.56433
38009727.0,254.0,261.1493
40396660.0,250.0,258.89914
51083958.0,243.5,255.14629
28933345.0,244.0,249.89874
96033657.0,227.5,246.47122
54439769.0,237.0,238.57567
46471280.0,230.5,234.5772
39129077.0,237.0,232.50136
42887858.0,238.5,231.95848
27793430.0,236.5,234.77145
29648460.0,236.0,235.89224
29275777.0,237.0,235.28665
36757745.0,230.0,235.24341
45480950.0,229.5,233.95514
75524118.0,219.5,231.95023
54073644.0,221.0,226.91068
18463792.0,222.5,223.33539
29085931.0,223.0,222.253
59933201.0,234.0,222.20573
44514797.0,235.5,225.62585
30785361.0,236.5,229.67801
28157065.0,235.0,232.97708
35501176.0,234.5,234.58864
39842652.0,234.0,235.44514
28086146.0,236.5,235.5927
23792081.0,231.0,236.63434
26202445.0,231.5,235.75017
37565127.0,227.5,234.55096
24565279.0,228.5,231.49446
22230228.0,231.0,230.43057
47138909.0,226.0,230.39038
51034754.0,222.0,229.23003
45686756.0,218.0,226.53632
38478343.0,219.0,223.14902
22060610.0,219.0,220.19798
15553334.0,218.5,219.73758
35267804.0,223.0,219.4053
32676349.0,224.0,220.24516
24759026.0,226.5,221.01941
46206207.0,229.0,222.7773
57352957.0,225.5,226.45427
49612186.0,235.0,227.69444
41947162.0,234.0,230.48006
45634576.0,226.0,232.5729
40181112.0,220.0,231.1759
31997568.0,221.0,227.4397
26229461.0,219.0,225.11792
27395220.0,222.5,222.71164
32926379.0,226.5,221.82187
32433141.0,226.0,222.8889
43226159.0,222.5,224.42918
18964952.0,223.5,224.02534
30270541.0,222.5,223.55319
23415082.0,225.5,223.38464
38697116.0,221.0,223.85085
46947532.0,223.5,223.45726
5185247.0,221.5,222.84196
23376100.0,220.0,222.21017
19402777.0,217.5,222.21877
16893259.0,216.5,220.36029
21915484.0,223.0,219.36804
30156773.0,225.5,220.66774
32900482.0,219.5,222.5686
34615620.0,215.5,223.06929
67043521.0,208.0,220.71913
35695176.0,213.0,216.20012
23794481.0,211.0,214.0376
51255446.0,215.5,212.85257
20832593.0,216.0,213.26512
28658288.0,220.5,214.1383
17612296.0,218.5,216.82407
42990923.0,221.0,218.25288
30038282.0,217.5,219.29402
21163986.0,220.5,219.51367
52677569.0,218.5,220.14473
32515866.0,221.0,220.37585
30958483.0,223.0,220.91246
18671213.0,220.5,221.69424
31348924.0,222.5,222.11606
48039764.0,226.0,222.81737
29134257.0,229.0,224.68147
42566520.0,222.5,226.9529
51889945.0,221.0,226.47096
81360106.0,228.0,224.72682
30125670.0,230.0,226.00615
28634925.0,229.0,227.67268
23647751.0,227.0,229.60182
22369799.0,227.0,229.87968
18163916.0,230.0,229.77766
18423023.0,229.0,230.2449
31887710.0,234.5,230.6265
34013489.0,236.5,232.08058
22032163.0,236.5,234.14009
25227138.0,238.0,235.53935
24586789.0,239.5,237.33878
37947889.0,239.0,238.84715
45164513.0,235.5,239.69292
23708407.0,233.0,239.251
20811226.0,234.0,237.49571
17226192.0,234.0,236.7371
22535659.0,230.0,236.12212
34282793.0,230.5,234.2028
23839972.0,235.5,232.2451
22493195.0,237.0,232.97018
17281356.0,234.5,234.40189
34542729.0,239.0,235.75017
27040532.0,241.0,237.30833
14620009.0,240.5,239.16937
23055971.0,242.0,240.29893
27514502.0,245.5,241.7391
22996467.0,248.5,243.40593
19273254.0,241.5,245.8824
21053170.0,244.0,245.42482
23622089.0,241.5,245.27834
13998054.0,242.0,244.51982
31024810.0,245.5,243.76035
35330656.0,245.5,244.12486
25189053.0,246.0,245.90718
28581323.0,246.5,247.2208
46426821.0,253.0,248.22955
