date,real_close,predict_close,predict_result
107/02/27,33.95,35.027344,1.0
107/03/01,34.95,35.27668,1.0
107/03/02,35.9,35.903137,1.0
107/03/05,35.2,36.668983,0.0
107/03/06,35.5,36.259075,0.0
107/03/07,35.65,35.825832,1.0
107/03/08,36.15,35.9132,1.0
107/03/09,36.0,36.42998,1.0
107/03/12,35.55,36.578274,0.0
107/03/13,35.4,36.360474,0.0
107/03/14,35.3,36.230328,0.0
107/03/15,35.2,35.840748,0.0
107/03/16,35.45,35.525818,1.0
107/03/19,35.6,35.689625,1.0
107/03/20,35.6,36.054024,1.0
107/03/21,35.45,36.28024,0.0
107/03/22,35.0,36.239388,0.0
107/03/23,34.1,35.778934,0.0
107/03/26,34.4,35.441505,0.0
107/03/27,34.85,35.392147,1.0
107/03/28,34.6,35.647713,1.0
107/03/29,34.55,35.704414,0.0
107/03/30,34.3,35.63032,0.0
107/03/31,34.55,35.45355,1.0
107/04/02,34.75,35.503876,1.0
107/04/03,34.7,35.713905,1.0
107/04/09,35.05,35.90962,1.0
107/04/10,35.25,36.217876,1.0
107/04/11,34.8,36.324017,0.0
107/04/12,34.95,35.966293,0.0
107/04/13,34.85,35.84939,0.0
107/04/16,34.8,35.77023,0.0
107/04/17,34.85,35.719658,1.0
107/04/18,34.0,35.823406,0.0
107/04/19,34.2,35.453426,0.0
107/04/20,34.4,35.207382,1.0
107/04/23,35.75,35.20741,1.0
107/04/24,35.75,36.41032,1.0
107/04/25,36.3,37.03797,1.0
107/04/26,36.25,37.363453,0.0
107/04/27,37.25,37.05561,1.0
107/04/30,38.35,37.478523,1.0
107/05/02,37.75,38.004078,1.0
107/05/03,37.1,38.02053,0.0
107/05/04,37.65,37.627075,1.0
107/05/07,37.8,37.641193,1.0
107/05/08,37.7,37.919075,1.0
107/05/09,37.55,38.009563,0.0
107/05/10,37.65,37.91285,1.0
107/05/11,37.35,37.997482,0.0
107/05/14,37.6,37.886078,1.0
107/05/15,39.95,38.26121,1.0
107/05/16,41.5,39.75531,1.0
107/05/17,41.2,40.99467,0.0
107/05/18,40.35,40.920795,0.0
107/05/21,39.8,40.30847,0.0
107/05/22,39.35,39.803055,0.0
107/05/23,39.35,39.443306,0.0
107/05/24,39.35,39.416325,1.0
107/05/25,39.4,39.509094,0.0
107/05/28,39.4,39.270855,0.0
107/05/29,39.0,39.207623,0.0
107/05/30,38.65,39.058727,0.0
107/05/31,38.75,38.90383,0.0
107/06/01,39.45,38.84096,1.0
107/06/04,39.75,39.432476,1.0
107/06/05,39.45,40.081238,0.0
107/06/06,39.8,39.93116,1.0
107/06/07,39.5,40.083595,0.0
107/06/08,39.7,39.90621,1.0
107/06/11,39.8,40.013786,1.0
107/06/12,39.8,40.224777,1.0
107/06/13,39.5,40.33214,0.0
107/06/14,39.3,40.076622,0.0
107/06/15,39.1,39.45463,0.0
107/06/19,39.35,39.111206,1.0
107/06/20,39.6,39.504124,1.0
107/06/21,42.0,40.057125,1.0
107/06/22,41.35,41.453033,1.0
107/06/25,40.6,41.704697,0.0
107/06/26,41.05,41.034935,0.0
107/06/27,40.2,40.905144,0.0
107/06/28,40.15,40.421276,0.0
107/06/29,40.75,40.249756,1.0
107/07/02,40.45,40.589394,0.0
107/07/03,39.85,40.579525,0.0
107/07/04,39.95,40.03497,1.0
107/07/05,39.55,40.08569,0.0
107/07/06,39.05,39.87803,0.0
107/07/09,39.75,39.535248,1.0
107/07/10,39.6,39.770634,1.0
107/07/11,39.65,39.97822,1.0
107/07/12,40.0,40.032196,1.0
107/07/13,40.1,40.266632,1.0
107/07/16,39.95,40.61222,1.0
107/07/17,39.7,40.634155,0.0
107/07/18,39.55,40.28212,0.0
107/07/19,39.5,39.985077,0.0
107/07/20,39.4,39.672768,0.0
107/07/23,39.55,39.438717,1.0
107/07/24,39.6,39.66208,1.0
107/07/25,39.95,39.887283,1.0
107/07/26,40.5,40.460247,1.0
107/07/27,40.2,41.074028,0.0
107/07/30,39.95,40.770844,0.0
107/07/31,39.75,40.339077,0.0
107/08/01,39.8,39.981716,0.0
107/08/02,39.75,39.950134,0.0
107/08/03,40.15,39.94794,1.0
107/08/06,41.0,40.333027,1.0
107/08/07,41.2,40.95676,1.0
107/08/08,41.15,41.360355,1.0
107/08/09,40.7,41.374557,0.0
107/08/10,41.0,40.966743,1.0
107/08/13,39.75,41.05362,0.0
107/08/14,39.7,40.138885,0.0
107/08/15,39.25,39.701813,0.0
107/08/16,39.45,39.309967,1.0
107/08/17,39.3,39.494007,1.0
107/08/20,39.1,39.57328,0.0
107/08/21,38.85,39.463665,0.0
107/08/22,39.35,39.182655,1.0
107/08/23,39.65,39.3183,1.0
107/08/24,39.6,39.815434,1.0
107/08/27,40.7,40.262634,1.0
107/08/28,40.7,40.834316,1.0
107/08/29,41.25,40.940903,1.0
107/08/30,41.6,41.287697,1.0
107/08/31,41.8,41.53911,1.0
107/09/03,41.75,41.77411,1.0
107/09/04,41.4,41.92161,0.0
107/09/05,37.0,41.70459,0.0
107/09/06,36.7,39.018543,0.0
107/09/07,36.2,37.724,0.0
107/09/10,35.35,37.34818,0.0
107/09/11,36.05,37.13513,0.0
107/09/12,35.95,37.120323,0.0
107/09/13,36.7,37.025925,1.0
107/09/14,37.0,37.057243,1.0
107/09/17,36.5,37.15364,1.0
107/09/18,36.95,37.518784,1.0
107/09/19,37.25,37.857323,1.0
107/09/20,37.4,38.07386,1.0
107/09/21,37.8,38.151325,1.0
107/09/25,37.15,38.231266,0.0
107/09/26,37.35,37.966156,0.0
107/09/27,37.4,37.877922,1.0
107/09/28,37.75,37.878338,1.0
107/10/01,37.75,38.266293,1.0
107/10/02,37.35,38.476097,0.0
107/10/03,36.95,38.040718,0.0
107/10/04,36.9,37.518105,1.0
107/10/05,36.3,37.531506,1.0
107/10/08,36.15,37.592052,0.0
107/10/09,36.25,37.40343,0.0
107/10/11,34.0,37.285847,0.0
107/10/12,34.15,36.750256,0.0
107/10/15,33.4,36.264442,0.0
107/10/16,33.65,35.60044,0.0
107/10/17,33.15,35.16036,0.0
107/10/18,33.0,34.834312,0.0
107/10/19,31.4,34.544388,0.0
107/10/22,31.4,34.027145,0.0
107/10/23,31.3,33.505367,0.0
107/10/24,31.2,33.0668,0.0
107/10/25,30.1,32.744392,0.0
107/10/26,30.25,32.3033,0.0
107/10/29,29.15,32.093517,0.0
107/10/30,29.15,31.62501,0.0
107/10/31,30.1,31.104155,0.0
107/11/01,30.6,31.04413,1.0
107/11/02,31.0,31.531195,1.0
107/11/05,31.1,32.24733,1.0
107/11/06,31.0,32.761612,1.0
107/11/07,31.2,32.89576,1.0
107/11/08,31.5,32.93207,1.0
107/11/09,30.6,33.076866,0.0
107/11/12,30.5,32.964687,0.0
107/11/13,30.5,32.731842,0.0
107/11/14,30.5,32.541893,0.0
107/11/15,30.85,32.503933,1.0
107/11/16,31.45,32.687206,1.0
107/11/19,32.05,33.19928,1.0
107/11/20,31.7,33.651546,0.0
107/11/21,31.7,33.650322,0.0
107/11/22,31.75,33.50862,0.0
107/11/23,31.6,33.444267,0.0
107/11/26,31.4,33.41619,0.0
107/11/27,31.25,33.294636,0.0
107/11/28,32.35,33.18815,1.0
107/11/29,32.25,33.655796,1.0
107/11/30,32.35,33.931377,1.0
107/12/03,32.9,34.0186,1.0
107/12/04,32.6,34.236553,0.0
107/12/05,32.5,34.23361,0.0
107/12/06,32.15,34.105865,0.0
107/12/07,32.15,33.87311,0.0
107/12/10,31.75,33.787186,0.0
107/12/11,31.85,33.559196,0.0
107/12/12,32.1,33.3776,1.0
107/12/13,33.0,33.44636,1.0
107/12/14,33.95,34.27869,1.0
107/12/17,34.35,34.931324,1.0
107/12/18,32.8,35.40982,0.0
107/12/19,32.75,34.78056,0.0
107/12/20,33.0,34.063133,0.0
107/12/21,33.0,33.774208,0.0
107/12/22,34.3,33.75719,1.0
107/12/24,34.4,34.538956,1.0
107/12/25,33.9,35.274315,0.0
107/12/26,33.4,35.22052,0.0
107/12/27,33.45,34.768147,0.0
107/12/28,33.5,34.5501,0.0
108/01/02,33.8,34.495743,1.0
108/01/03,34.1,34.71979,1.0
108/01/04,34.8,35.0966,1.0
108/01/07,35.2,35.9704,1.0
108/01/08,34.75,36.525196,0.0
108/01/09,35.2,36.143753,0.0
108/01/10,35.25,36.06733,1.0
108/01/11,34.8,36.081482,0.0
108/01/14,34.8,35.882843,0.0
108/01/15,35.1,35.5686,1.0
108/01/16,34.9,35.63946,1.0
108/01/17,34.9,35.639576,0.0
108/01/18,34.8,35.638557,0.0
108/01/21,34.8,35.616276,1.0
108/01/22,34.5,35.617214,0.0
108/01/23,34.5,35.453682,1.0
108/01/24,34.3,35.471245,0.0
108/01/25,34.35,35.27469,0.0
108/01/28,34.85,35.164055,1.0
108/01/29,34.9,35.770996,1.0
108/01/30,34.7,36.222485,0.0
108/02/11,34.7,36.177277,0.0
108/02/12,34.75,36.00314,0.0
108/02/13,34.85,35.958847,1.0
108/02/14,34.65,36.114143,0.0
