date,real_close,predict_close,predict_result
109/08/04,46.25,45.6955,1.0
109/08/05,46.0,45.85193,0.0
109/08/06,45.85,45.728573,0.0
109/08/07,45.65,45.65798,0.0
109/08/10,47.0,45.50276,1.0
109/08/11,46.25,46.263405,0.0
109/08/12,46.15,45.88663,0.0
109/08/13,46.85,45.757072,1.0
109/08/14,47.15,46.354706,1.0
109/08/17,48.9,46.618824,1.0
109/08/18,48.95,47.555565,1.0
109/08/19,49.6,48.07805,1.0
109/08/20,47.9,48.733017,0.0
109/08/21,48.85,48.091095,1.0
109/08/24,48.75,48.580997,1.0
109/08/25,48.9,48.633595,0.0
109/08/26,48.9,48.57759,1.0
109/08/27,48.95,48.690624,1.0
109/08/28,46.45,48.69784,0.0
109/08/31,45.25,46.193375,0.0
109/09/01,44.45,45.568172,0.0
109/09/02,44.5,44.834908,0.0
109/09/03,43.5,44.53898,0.0
109/09/04,43.6,43.478107,0.0
109/09/07,43.5,43.02283,0.0
109/09/08,44.2,42.933067,1.0
109/09/09,43.55,43.20163,0.0
109/09/10,43.7,43.025444,0.0
109/09/11,43.0,42.902794,0.0
109/09/14,43.8,42.507343,1.0
109/09/15,43.6,42.910183,1.0
109/09/16,43.55,42.937405,0.0
109/09/17,43.9,42.91555,1.0
109/09/18,43.8,43.2006,1.0
109/09/21,43.9,43.241367,1.0
109/09/22,43.5,43.412315,0.0
109/09/23,42.85,43.093224,0.0
109/09/24,41.5,42.5619,0.0
109/09/25,42.1,41.695168,0.0
109/09/28,42.25,41.635876,0.0
109/09/29,42.1,41.615955,0.0
109/09/30,42.25,41.441933,0.0
109/10/05,42.95,41.382465,1.0
109/10/06,44.1,41.82273,1.0
109/10/07,44.1,42.826065,1.0
109/10/08,44.55,43.255104,1.0
109/10/12,44.9,43.67982,1.0
109/10/13,44.6,44.171993,1.0
109/10/14,44.9,44.17341,1.0
109/10/15,44.75,44.382427,0.0
109/10/16,44.75,44.349014,1.0
109/10/19,45.25,44.4171,1.0
109/10/20,45.25,44.732143,1.0
109/10/21,45.5,44.839256,1.0
109/10/22,45.25,45.03205,0.0
109/10/23,45.3,44.953415,1.0
109/10/26,45.6,44.98799,1.0
109/10/27,45.45,45.172916,0.0
109/10/28,45.7,45.10098,1.0
109/10/29,45.45,45.3441,0.0
109/10/30,44.95,45.18251,0.0
109/11/02,44.85,44.838364,0.0
109/11/03,44.9,44.659718,0.0
109/11/04,44.9,44.645523,0.0
109/11/05,45.15,44.511215,1.0
109/11/06,45.0,44.68154,0.0
109/11/09,45.15,44.557487,1.0
109/11/10,45.9,44.6404,1.0
109/11/11,46.45,45.163994,1.0
109/11/12,46.15,45.590515,1.0
109/11/13,46.6,45.619484,1.0
109/11/16,46.65,46.039288,1.0
109/11/17,46.8,46.28231,1.0
109/11/18,46.75,46.40601,1.0
109/11/19,46.4,46.456905,0.0
109/11/20,46.15,46.287052,0.0
109/11/23,46.65,46.05647,1.0
109/11/24,46.45,46.226883,0.0
109/11/25,46.65,46.117092,1.0
109/11/26,46.7,46.31334,1.0
109/11/27,47.0,46.35604,1.0
109/11/30,46.35,46.616337,0.0
109/12/01,46.6,46.100395,1.0
109/12/02,46.35,46.270275,0.0
109/12/03,46.25,46.062122,0.0
109/12/04,46.4,45.889587,1.0
109/12/07,46.1,45.926876,0.0
109/12/08,46.05,45.64283,0.0
109/12/09,46.3,45.56027,1.0
109/12/10,47.5,45.705338,1.0
109/12/11,46.9,46.824783,0.0
109/12/14,46.3,46.36876,0.0
109/12/15,45.7,45.87383,0.0
109/12/16,46.0,45.44727,1.0
109/12/17,45.6,45.497326,0.0
109/12/18,46.45,45.11969,1.0
109/12/21,46.6,45.521057,1.0
109/12/22,46.25,45.68017,1.0
109/12/23,46.7,45.680412,1.0
109/12/24,46.8,46.012177,1.0
109/12/25,48.1,46.235157,1.0
109/12/28,51.0,47.347816,1.0
109/12/29,50.3,49.593994,1.0
109/12/30,49.95,49.59986,1.0
109/12/31,50.8,49.71009,1.0
110/01/04,51.0,50.2034,1.0
110/01/05,50.2,50.79541,0.0
110/01/06,49.65,50.33787,0.0
110/01/07,50.0,49.935482,0.0
110/01/08,50.1,49.931187,0.0
110/01/11,51.0,49.799614,1.0
110/01/12,50.0,50.247986,0.0
110/01/13,50.1,49.840405,0.0
110/01/14,49.85,49.832386,0.0
110/01/15,48.9,49.739708,0.0
110/01/18,48.5,48.92592,0.0
110/01/19,48.95,48.544643,1.0
110/01/20,47.65,48.69088,0.0
110/01/21,48.0,47.7122,0.0
110/01/22,49.2,47.650597,1.0
110/01/25,49.0,48.35884,1.0
110/01/26,48.85,48.457703,0.0
110/01/27,48.7,48.442577,0.0
110/01/28,48.7,48.361626,1.0
110/01/29,48.25,48.366875,0.0
110/02/01,47.9,48.135475,0.0
110/02/02,47.85,47.686234,0.0
110/02/03,48.3,47.392895,1.0
110/02/04,48.3,47.740734,1.0
110/02/05,48.4,47.81624,1.0
110/02/17,48.95,47.831448,1.0
110/02/18,49.65,48.410934,1.0
