date,real_close,predict_close,predict_result
108/01/08,34.75,36.088036,0.0
108/01/09,35.2,35.800255,0.0
108/01/10,35.25,35.77384,1.0
108/01/11,34.8,35.797913,0.0
108/01/14,34.8,35.508327,0.0
108/01/15,35.1,35.170116,1.0
108/01/16,34.9,35.23264,0.0
108/01/17,34.9,35.212536,1.0
108/01/18,34.8,35.22069,1.0
108/01/21,34.8,35.237957,1.0
108/01/22,34.5,35.284046,0.0
108/01/23,34.5,35.16586,1.0
108/01/24,34.3,35.192062,0.0
108/01/25,34.35,35.019176,0.0
108/01/28,34.85,34.900536,1.0
108/01/29,34.9,35.44419,1.0
108/01/30,34.7,35.87166,0.0
108/02/11,34.7,35.870457,0.0
108/02/12,34.75,35.746735,0.0
108/02/13,34.85,35.73381,1.0
108/02/14,34.65,35.914307,0.0
108/02/15,34.4,35.733093,0.0
108/02/18,35.2,35.28056,1.0
108/02/19,34.95,36.076843,1.0
108/02/20,35.05,36.27491,1.0
108/02/21,34.9,36.325024,0.0
108/02/22,35.0,36.111416,1.0
108/02/25,34.85,36.117992,0.0
108/02/26,34.7,35.953354,0.0
108/02/27,34.7,35.696297,0.0
108/03/04,34.95,35.59621,1.0
108/03/05,35.0,35.883545,1.0
108/03/06,34.95,36.08353,1.0
108/03/07,34.7,36.15606,0.0
108/03/08,34.7,35.745773,0.0
108/03/11,34.45,35.475628,0.0
108/03/12,34.05,35.29736,1.0
108/03/13,34.45,35.372204,1.0
108/03/14,34.9,35.65704,1.0
108/03/15,35.4,36.118576,1.0
108/03/18,35.3,36.562706,0.0
108/03/19,35.05,36.43476,0.0
108/03/20,35.25,35.67761,0.0
108/03/21,34.95,35.575302,0.0
108/03/22,34.85,35.319813,0.0
108/03/25,35.05,35.214752,1.0
108/03/26,35.15,35.354843,1.0
108/03/27,35.05,35.453773,1.0
108/03/28,34.95,35.494347,1.0
108/03/29,35.3,35.503822,1.0
108/04/01,35.2,36.24884,1.0
108/04/02,35.1,36.484688,0.0
108/04/03,35.3,36.30515,1.0
108/04/08,35.05,36.48596,0.0
108/04/09,35.3,36.24581,1.0
108/04/10,35.3,36.445984,1.0
108/04/11,35.35,36.44857,1.0
108/04/12,35.2,36.551247,0.0
108/04/15,35.2,36.226925,0.0
108/04/16,35.0,36.05718,0.0
108/04/17,35.15,35.702435,1.0
108/04/18,34.95,35.80654,0.0
108/04/19,35.1,35.664146,1.0
108/04/22,35.9,35.746887,1.0
108/04/23,36.05,36.69837,1.0
108/04/24,36.0,37.22612,0.0
108/04/25,35.6,37.124725,0.0
108/04/26,35.1,36.637367,0.0
108/04/29,35.4,35.88734,0.0
108/04/30,35.1,35.785763,0.0
108/05/02,35.25,35.667435,1.0
108/05/03,35.3,35.70039,1.0
108/05/06,35.2,35.78267,0.0
108/05/07,35.7,35.73182,1.0
108/05/08,35.95,36.12447,1.0
108/05/09,35.4,36.698875,0.0
108/05/10,35.45,36.330246,0.0
108/05/13,36.45,36.003128,1.0
108/05/14,36.45,36.92467,1.0
108/05/15,36.5,37.345894,0.0
108/05/16,36.05,37.22464,0.0
108/05/17,37.5,36.7882,1.0
108/05/20,38.15,37.714165,1.0
108/05/21,38.3,38.503,1.0
108/05/22,38.0,38.60293,0.0
108/05/23,38.0,38.144356,0.0
108/05/24,38.05,37.813038,1.0
108/05/27,39.0,37.841885,1.0
108/05/28,38.8,38.692463,1.0
108/05/29,39.2,38.967884,1.0
108/05/30,39.15,39.19001,0.0
108/05/31,38.55,39.12504,0.0
108/06/03,38.35,38.682053,0.0
108/06/04,39.05,38.333794,1.0
108/06/05,39.05,38.8796,1.0
108/06/06,39.05,39.2406,1.0
108/06/10,39.55,39.31185,1.0
108/06/11,39.0,39.927692,0.0
108/06/12,38.4,39.645382,0.0
108/06/13,38.85,38.885063,1.0
108/06/14,38.8,39.02181,1.0
108/06/17,39.05,39.11857,1.0
108/06/18,39.45,39.386913,1.0
108/06/19,38.9,39.99808,0.0
108/06/20,38.9,39.765015,0.0
108/06/21,38.65,39.54966,0.0
108/06/24,39.35,39.254326,1.0
108/06/25,40.8,39.854088,1.0
108/06/26,40.45,41.398636,0.0
108/06/27,40.45,41.278065,0.0
108/06/28,39.95,40.667637,0.0
108/07/01,39.15,39.90339,0.0
108/07/02,39.35,39.04795,0.0
108/07/03,39.4,38.831936,1.0
108/07/04,39.4,38.930084,1.0
108/07/05,39.5,39.109417,1.0
108/07/08,39.4,39.21814,1.0
108/07/09,39.65,39.25844,1.0
108/07/10,39.9,39.584675,1.0
108/07/11,39.6,40.07097,1.0
108/07/12,39.65,40.12118,1.0
108/07/15,39.6,40.14382,0.0
108/07/16,39.3,39.97516,0.0
108/07/17,39.1,39.390583,0.0
108/07/18,39.1,39.05504,0.0
108/07/19,39.6,39.004375,1.0
108/07/22,39.7,39.80422,1.0
108/07/23,39.8,40.286755,1.0
108/07/24,39.65,40.500443,0.0
108/07/25,39.9,40.278645,1.0
108/07/26,39.9,40.551956,1.0
108/07/29,40.7,40.620583,1.0
108/07/30,40.45,40.876972,1.0
108/07/31,40.8,40.88165,1.0
108/08/01,40.8,41.137985,1.0
108/08/02,40.8,41.19996,1.0
108/08/05,40.75,41.268265,0.0
108/08/06,41.15,41.122795,1.0
108/08/07,41.0,41.337692,0.0
108/08/08,41.2,41.31394,1.0
108/08/12,41.45,41.360344,1.0
108/08/13,41.25,41.55847,0.0
108/08/14,40.1,41.443226,0.0
108/08/15,39.85,40.581947,0.0
108/08/16,39.35,40.04705,0.0
108/08/19,38.8,39.687645,0.0
108/08/20,39.1,39.33615,0.0
108/08/21,38.95,39.163692,0.0
108/08/22,39.2,38.989307,0.0
108/08/23,39.4,38.9473,1.0
108/08/26,39.55,39.059834,1.0
108/08/27,36.95,39.178967,0.0
108/08/28,36.8,38.225914,0.0
108/08/29,36.75,37.33281,0.0
108/08/30,36.9,36.842228,0.0
108/09/02,37.35,36.76966,1.0
108/09/03,37.75,37.0501,1.0
108/09/04,38.25,37.491573,1.0
108/09/05,37.9,38.05256,1.0
108/09/06,37.65,38.222923,1.0
108/09/09,37.75,38.265953,0.0
108/09/10,37.7,38.20703,0.0
108/09/11,37.85,38.112667,1.0
108/09/12,37.65,38.15458,0.0
108/09/16,38.3,38.057552,1.0
108/09/17,38.3,38.581413,1.0
108/09/18,38.95,38.88215,1.0
108/09/19,38.95,39.28728,1.0
108/09/20,38.5,39.38138,0.0
108/09/23,38.3,39.04119,0.0
108/09/24,38.0,38.77751,0.0
108/09/25,38.2,38.522026,1.0
108/09/26,38.15,38.58544,0.0
108/09/27,37.7,38.526917,0.0
108/10/01,37.6,38.160225,0.0
108/10/02,37.4,37.950672,0.0
108/10/03,37.4,37.857445,1.0
108/10/04,37.15,37.86386,0.0
108/10/07,37.4,37.696228,1.0
108/10/08,37.1,37.769722,0.0
108/10/09,36.8,37.55899,0.0
108/10/14,36.9,37.182327,0.0
108/10/15,36.8,37.00039,0.0
108/10/16,37.6,36.840714,1.0
108/10/17,37.35,37.81601,1.0
108/10/18,37.85,38.117863,1.0
108/10/21,38.0,38.65879,1.0
108/10/22,37.75,38.756153,0.0
108/10/23,37.35,38.423866,0.0
108/10/24,37.5,37.85109,0.0
