date,real_close,0
107/12/20,11.3,11.954252
107/12/21,11.4,12.04337
107/12/22,11.25,12.017344
107/12/24,11.2,12.134823
107/12/25,11.15,11.947234
107/12/26,11.2,11.818277
107/12/27,11.25,11.76941
107/12/28,11.25,11.77133
108/01/02,11.1,11.768068
108/01/03,10.9,11.703146
108/01/04,10.7,11.407749
108/01/07,11.0,11.25455
108/01/08,10.95,11.538524
108/01/09,11.1,11.63124
108/01/10,11.15,11.7101555
108/01/11,11.2,11.757001
108/01/14,11.1,11.847931
108/01/15,11.25,11.779735
108/01/16,11.3,11.806131
108/01/17,11.25,11.891278
108/01/18,11.4,11.86524
108/01/21,11.7,12.033262
108/01/22,11.7,12.18687
108/01/23,11.55,12.457822
108/01/24,11.7,12.342437
108/01/25,11.95,12.289732
108/01/28,11.85,12.337269
108/01/29,12.0,12.420043
108/01/30,11.35,12.494214
108/02/11,10.85,11.8706875
108/02/12,11.1,11.689355
108/02/13,11.1,11.783091
108/02/14,11.3,11.901439
108/02/15,11.4,12.173399
108/02/18,11.45,12.128809
108/02/19,11.45,12.164688
108/02/20,11.4,12.083611
108/02/21,11.45,11.977919
108/02/22,11.5,11.946622
108/02/25,11.65,11.987401
108/02/26,11.65,12.133232
108/02/27,11.45,12.351871
108/03/04,11.45,12.104048
108/03/05,11.6,12.212785
108/03/06,11.7,12.255311
108/03/07,11.85,12.299329
108/03/08,11.6,12.301712
108/03/11,11.45,12.347778
108/03/12,11.65,12.1134405
108/03/13,11.55,12.279323
108/03/14,11.45,12.206835
108/03/15,11.65,12.061717
108/03/18,11.7,12.080051
108/03/19,11.7,12.193829
108/03/20,11.55,12.225734
108/03/21,11.6,12.215158
108/03/22,11.8,12.177941
108/03/25,11.65,12.280091
108/03/26,11.65,12.225
108/03/27,11.65,12.3390255
108/03/28,11.65,12.277876
108/03/29,11.65,12.186006
108/04/01,11.55,12.188472
108/04/02,11.6,12.205675
108/04/03,11.55,12.196765
108/04/08,11.9,12.147287
108/04/09,12.3,12.138444
108/04/10,12.25,12.777825
108/04/11,12.1,13.1052
108/04/12,12.2,12.892309
108/04/15,12.05,13.145013
108/04/16,12.1,12.895133
108/04/17,12.2,12.796885
108/04/18,12.0,12.776487
108/04/19,12.1,12.74596
108/04/22,11.9,12.822296
108/04/23,11.95,12.648499
108/04/24,11.95,12.544966
108/04/25,13.1,12.489971
108/04/26,13.45,12.982507
108/04/29,13.35,13.814096
108/04/30,13.45,14.807741
108/05/02,13.55,14.757544
108/05/03,13.85,14.668391
108/05/06,13.2,14.515378
108/05/07,13.6,14.110659
108/05/08,13.45,14.404811
108/05/09,13.15,14.26159
108/05/10,13.2,13.9481945
108/05/13,12.95,13.99145
108/05/14,13.0,13.70802
108/05/15,12.9,13.426591
108/05/16,12.95,13.533888
108/05/17,13.0,13.620577
108/05/20,12.75,13.606067
108/05/21,12.95,13.497861
108/05/22,13.0,13.477306
108/05/23,12.85,13.591049
108/05/24,12.95,13.3976555
108/05/27,12.8,13.569046
108/05/28,12.45,13.4867115
108/05/29,12.6,12.984205
108/05/30,12.75,13.2301655
108/05/31,12.9,13.363766
108/06/03,13.2,13.512079
108/06/04,13.0,13.675859
108/06/05,12.9,13.680093
108/06/06,13.05,13.656066
108/06/10,13.3,13.620765
108/06/11,13.4,13.819936
108/06/12,13.55,13.941931
108/06/13,13.75,14.078389
108/06/14,13.7,14.147078
108/06/17,13.65,14.411399
108/06/18,13.25,14.373207
108/06/19,13.65,14.029038
108/06/20,13.4,14.157576
108/06/21,13.7,14.147583
108/06/24,13.75,14.239136
108/06/25,13.7,14.385193
108/06/26,13.8,14.372969
108/06/27,14.0,14.304353
108/06/28,13.95,14.53209
108/07/01,14.35,14.701626
108/07/02,14.25,14.887035
108/07/03,14.05,15.000154
108/07/04,14.15,14.730775
108/07/05,14.1,14.711239
108/07/08,13.95,14.600902
108/07/09,14.0,14.455636
108/07/10,14.65,14.503574
108/07/11,14.95,14.879102
108/07/12,14.6,15.283674
108/07/15,14.9,15.458563
108/07/16,14.0,15.6072645
108/07/17,13.75,14.952507
108/07/18,13.8,14.65192
108/07/19,13.8,14.544227
108/07/22,13.6,14.453193
108/07/23,13.6,14.20542
108/07/24,13.85,14.168582
108/07/25,13.55,14.312325
