StockName,precision_0,precision_1,precision_accuracy,precision_macro avg,precision_weighted avg,recall_0,recall_1,recall_accuracy,recall_macro avg,recall_weighted avg,f1-score_0,f1-score_1,f1-score_accuracy,f1-score_macro avg,f1-score_weighted avg,support_0,support_1,support_accuracy,support_macro avg,support_weighted avg,Matthew,MAE,MSE,RMSE,10F-Score-mean,10F-Score-std
1210,0.543046357615894,0.6319444444444444,0.5864406779661017,0.5874954010301692,0.5912622691161248,0.6074074074074074,0.56875,0.5864406779661017,0.5880787037037036,0.5864406779661017,0.5734265734265734,0.5986842105263158,0.5864406779661017,0.5860553919764446,0.5871256308366032,135.0,160.0,0.5864406779661017,295.0,295.0,0.17557313578988112,5.659105044148912,47.15755801937137,6.867136085688951,-2.3564715904127818,4.631804596888831
1231,0.4453125,0.7485029940119761,0.6169491525423729,0.596907747005988,0.6467543197503299,0.5757575757575758,0.6377551020408163,0.6169491525423729,0.6067563388991961,0.6169491525423729,0.5022026431718062,0.6887052341597796,0.6169491525423729,0.5954539386657929,0.6261162290485615,99.0,196.0,0.6169491525423729,295.0,295.0,0.2034258221694464,9.15260878243514,145.25080233284308,12.052004079523169,-4.740927023459284,12.595269176433266
2344,0.5547445255474452,0.7784810126582279,0.6745762711864407,0.6666127691028365,0.6942954192029843,0.6846846846846847,0.6684782608695652,0.6745762711864407,0.6765814727771249,0.6745762711864407,0.6129032258064517,0.7192982456140352,0.6745762711864407,0.6661007357102435,0.6792648652796563,111.0,184.0,0.6745762711864407,295.0,295.0,0.34304943172466523,2.28686403464262,10.6862102940602,3.268976949147883,-1.7091678253635632,4.983732412359226
2449,0.44274809160305345,0.7439024390243902,0.6101694915254238,0.5933252653137219,0.6418162195595304,0.58,0.6256410256410256,0.6101694915254238,0.6028205128205129,0.6101694915254238,0.5021645021645021,0.67966573816156,0.6101694915254238,0.590915120163031,0.6194958276540828,100.0,195.0,0.6101694915254238,295.0,295.0,0.19591581496823882,3.565427484014924,20.862089132870704,4.56750359965602,-0.455422071864685,0.9581686152884697
2603,0.3356164383561644,0.6912751677852349,0.5152542372881356,0.5134458030706996,0.5767410006809579,0.5157894736842106,0.515,0.5152542372881356,0.5153947368421052,0.5152542372881356,0.40663900414937765,0.5902578796561605,0.5152542372881356,0.49844844190276905,0.5311263773743151,95.0,200.0,0.5152542372881356,295.0,295.0,0.028774613804823993,57.39075212287301,5687.296687858256,75.41416768657103,-0.08260314108208874,0.09006720902193005
2633,0.65625,0.6031746031746031,0.6299212598425197,0.6297123015873016,0.6311750093738283,0.6268656716417911,0.6333333333333333,0.6299212598425197,0.6300995024875622,0.6299212598425197,0.6412213740458016,0.6178861788617885,0.6299212598425197,0.6295537764537951,0.6301968723840632,67.0,60.0,0.6299212598425197,127.0,127.0,0.25981151554944254,0.16061365458059695,0.036653031785925674,0.1914498153196437,-2.4031958826075526,4.742039309279467
3596,0.5915492957746479,0.6993464052287581,0.6474576271186441,0.645447850501703,0.651842594282879,0.6461538461538462,0.6484848484848484,0.6474576271186441,0.6473193473193473,0.6474576271186441,0.6176470588235294,0.6729559748427673,0.6474576271186441,0.6453015168331484,0.6485825542241201,130.0,165.0,0.6474576271186441,295.0,295.0,0.29276121604415356,3.3403092797456355,28.841610051861014,5.3704385344086205,-1.6889282495577889,2.6958422987431367
1215,0.5035460992907801,0.6948051948051948,0.6033898305084746,0.5991756470479874,0.6183015565994289,0.6016949152542372,0.6045197740112994,0.6033898305084746,0.6031073446327684,0.6033898305084746,0.5482625482625483,0.6465256797583082,0.6033898305084746,0.5973941140104282,0.6072204271600042,118.0,177.0,0.6033898305084746,295.0,295.0,0.2022447786159597,3.33887925843227,16.168361398117103,4.020990101718369,-0.7713467971209923,0.8994483201826654
1232,0.47468354430379744,0.583941605839416,0.5254237288135594,0.5293125750716068,0.5350532528811053,0.5681818181818182,0.49079754601226994,0.5254237288135594,0.5294896820970441,0.5254237288135594,0.5172413793103448,0.5333333333333332,0.5254237288135594,0.525287356321839,0.5261328657705044,132.0,163.0,0.5254237288135594,295.0,295.0,0.05880199045295736,20.68618221184701,634.3386247144174,25.186079979115792,-7.186135148454234,12.487247488521557
2345,0.5704697986577181,0.5273972602739726,0.5491525423728814,0.5489335294658453,0.5498825853963347,0.551948051948052,0.5460992907801419,0.5491525423728814,0.5490236713640969,0.5491525423728814,0.5610561056105611,0.5365853658536586,0.5491525423728814,0.5488207357321098,0.5493599215233637,154.0,141.0,0.5491525423728814,295.0,295.0,0.09795715935487216,33.844917960688434,1715.4857513383572,41.418422849480365,-191.50492559748875,538.9338687307087
