,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
2864,3010633,402130915,133.5,135.0,131.5,134.0,2500,131.0,149.0,16.66666667,37.40430005,55.15755463,90.66406379,0
2865,2688774,355512122,133.0,134.0,130.5,133.0,2009,130.5,149.0,13.51351351,29.44070454,46.58527127,80.87440472,0
2866,2041492,270109638,133.0,134.0,131.5,132.0,1878,130.5,149.0,8.108108108,22.32983906,38.5001272,70.84070347,1
2867,4075321,546144875,131.5,136.0,130.0,136.0,2671,130.0,147.5,34.28571429,26.3151308,34.43846173,50.68512359,0
2868,3398392,449863614,133.0,133.5,131.0,132.5,2437,130.0,147.5,14.28571429,22.3053253,30.39408292,46.57159817,1
2869,2434129,324238976,132.5,134.5,132.0,134.0,1701,130.0,147.5,22.85714286,22.48926448,27.75914344,38.29890136,1
2870,3041564,413315234,134.5,138.0,134.0,135.0,2336,130.0,143.0,38.46153846,27.81335581,27.77721423,27.70493107,0
2871,4269886,580242235,136.0,138.5,133.0,134.0,3598,130.0,142.5,32.0,29.20890387,28.25444411,26.34552459,1
2872,3239358,434500171,134.5,136.5,132.0,134.5,2322,130.0,138.5,52.94117647,37.11966141,31.20951654,19.38922682,1
2873,5175237,704526249,134.0,138.0,134.0,136.0,3293,130.0,138.5,70.58823529,48.2758527,36.89829526,14.14318038,1
2874,8115764,1135776341,137.5,142.0,136.5,141.0,6753,130.0,142.0,91.66666667,62.73945736,45.51201596,11.05713317,1
2875,8674498,1250487621,142.5,147.0,139.0,146.0,7794,130.0,147.0,94.11764706,73.19885392,54.74096195,17.825178,0
2876,8432644,1226231781,144.5,148.5,143.0,144.0,6271,131.0,148.5,74.28571429,73.56114071,61.01435487,35.92078319,1
2877,12438569,1844413533,146.0,151.0,144.5,149.5,9593,132.0,151.0,92.10526316,79.74251486,67.25707487,42.28619488,0
2878,14261437,2149187330,152.5,155.0,146.0,146.0,11224,132.0,155.0,60.86956522,73.45153165,69.32189379,61.06261809,0
2879,6942577,1006702350,144.5,148.5,142.5,145.0,5060,132.0,155.0,56.52173913,67.80826747,68.81735169,70.83552011,1
2880,16071118,2380848374,144.0,154.0,140.0,153.0,11846,132.0,155.0,91.30434783,75.64029426,71.09166588,61.99440912,0
2881,18716927,2913511149,157.5,162.5,149.5,153.0,16039,134.0,162.5,66.66666667,72.64908506,71.61080561,69.53424669,0
2882,6189433,940995115,153.0,154.5,150.0,152.0,5039,136.5,162.5,59.61538462,68.30451825,70.50870982,74.91709296,0
2883,7038280,1036329882,151.5,152.5,144.0,144.5,5373,139.0,162.5,23.40425532,53.33776394,64.78506119,87.6796557,1
2884,3420320,505066147,146.0,149.5,145.5,147.5,3267,140.0,162.5,33.33333333,46.6696204,58.74658093,82.90050198,0
2885,2575374,372795315,147.0,148.0,143.5,143.5,3146,140.0,162.5,15.55555556,36.29826545,51.2638091,81.1948964,0
2886,2632341,377334862,144.5,146.0,141.5,143.5,2077,140.0,162.5,15.55555556,29.38402882,43.97054901,73.14358939,1
2887,3297303,482569118,145.5,148.5,144.5,145.0,2323,140.0,162.5,22.22222222,26.99675995,38.31261932,60.94433806,0
2888,2865576,416671441,147.5,149.0,143.0,144.0,2250,140.0,162.5,17.77777778,23.9237659,33.51633485,52.70147275,0
2889,3688529,516551431,143.0,143.0,138.5,140.0,2967,138.5,162.5,6.25,18.0325106,28.3550601,49.0001591,1
2890,3296976,471952132,141.5,145.0,141.0,143.5,2336,138.5,154.5,31.25,22.4383404,26.3828202,34.2717798,0
2891,2844694,396923817,143.0,143.0,138.0,138.0,1955,138.0,152.5,0.0,14.9588936,22.57484466,37.8067468,1
2892,2034980,282982996,138.5,140.5,136.5,139.5,1489,136.5,149.5,23.07692308,17.66490342,20.93819758,27.4847859,1
2893,1654554,235003173,142.0,143.0,140.5,142.5,1342,136.5,149.0,48.0,27.77660228,23.21766582,14.09979289,0
2894,2468495,341360710,140.5,140.5,137.0,137.5,2082,136.5,149.0,8.0,21.18440152,22.53991105,25.25093011,0
2895,1058825,145743457,139.0,140.0,136.0,136.5,903,136.0,149.0,3.846153846,15.40498563,20.16160258,29.67483647,1
2896,1507135,209917002,137.0,141.0,136.0,140.5,1138,136.0,149.0,34.61538462,21.80845196,20.71055237,18.5147532,1
2897,1396952,196948394,142.5,143.0,140.0,141.0,1845,136.0,145.0,55.55555556,33.05748649,24.82619708,8.363618253,1
2898,1907504,272388801,142.0,144.5,141.5,143.0,1421,136.0,145.0,77.77777778,47.96425025,32.53888147,1.688143903,1
2899,3163207,458904908,143.0,146.5,141.5,145.5,2494,136.0,146.5,90.47619048,62.13489699,42.40421998,2.942865945,1
2900,5959020,879559948,147.5,149.5,143.5,148.5,4528,136.0,149.5,92.59259259,72.28746219,52.36530072,12.52097776,0
2901,3350664,497253761,148.5,149.5,147.0,148.0,2406,136.0,149.5,88.88888889,77.82127109,60.85062418,26.90933034,0
2902,2735754,395774112,147.0,148.0,143.0,145.0,2632,136.0,149.5,66.66666667,74.10306962,65.26810599,47.59817873,1
