stockID,profit
1210,47.30000000000003
1231,47.55000000000002
2344,5.899999999999995
2449,-40.450000000000024
2603,35.69
2633,-2.9499999999999957
3596,2.6999999999999744
1215,78.44999999999995
1232,65.5
2345,201.0
2454,440.5
2607,-13.299999999999994
2634,27.750000000000007
3682,1.8000000000000025
1216,-63.899999999999935
1434,37.0
2379,-371.5
2455,4.999999999999943
2609,-188.17999999999998
2637,-9.750000000000014
4904,-78.30000000000004
1218,30.60000000000001
1702,-47.65000000000002
2408,19.199999999999996
2459,20.25
2610,4.529999999999998
3034,266.0
5388,5.300000000000026
1227,-4.400000000000013
2330,537.0
2412,4.0
2468,4.350000000000003
2615,38.79999999999998
3035,115.10000000000002
1229,61.70000000000001
2337,-16.55000000000002
2439,-47.10000000000005
2498,-48.19999999999999
2618,16.11
3045,-5.799999999999997
