StockName,precision_0,precision_1,precision_accuracy,precision_macro avg,precision_weighted avg,recall_0,recall_1,recall_accuracy,recall_macro avg,recall_weighted avg,f1-score_0,f1-score_1,f1-score_accuracy,f1-score_macro avg,f1-score_weighted avg,support_0,support_1,support_accuracy,support_macro avg,support_weighted avg
1210,0.8263888888888888,0.8940397350993378,0.8610169491525423,0.8602143119941132,0.8630808732742171,0.8814814814814815,0.84375,0.8610169491525423,0.8626157407407408,0.8610169491525423,0.8530465949820789,0.8681672025723473,0.8610169491525423,0.8606068987772131,0.8612476024886652,135.0,160.0,0.8610169491525423,295.0,295.0
1231,0.6639344262295082,0.8959537572254336,0.8,0.7799440917274709,0.8180896427556146,0.8181818181818182,0.7908163265306123,0.8,0.8044990723562153,0.8,0.7330316742081447,0.840108401084011,0.8,0.7865700376460778,0.8041741774883813,99.0,196.0,0.8,295.0,295.0
2344,0.7459016393442623,0.884393063583815,0.8271186440677966,0.8151473514640386,0.8322827310733393,0.8198198198198198,0.8315217391304348,0.8271186440677966,0.8256707794751272,0.8271186440677966,0.7811158798283261,0.857142857142857,0.8271186440677966,0.8191293684855916,0.82853609618722,111.0,184.0,0.8271186440677966,295.0,295.0
2449,0.7962962962962963,0.9251336898395722,0.8779661016949153,0.8607149930679343,0.881459997113038,0.86,0.8871794871794871,0.8779661016949153,0.8735897435897435,0.8779661016949153,0.826923076923077,0.9057591623036648,0.8779661016949153,0.8663411196133709,0.8790350655644825,100.0,195.0,0.8779661016949153,295.0,295.0
2603,0.7692307692307693,0.8774509803921569,0.8440677966101695,0.823340874811463,0.8426004039164559,0.7368421052631579,0.895,0.8440677966101695,0.815921052631579,0.8440677966101695,0.7526881720430108,0.886138613861386,0.8440677966101695,0.8194133929521984,0.8431630478520787,95.0,200.0,0.8440677966101695,295.0,295.0
2633,0.7160493827160493,0.8,0.746031746031746,0.7580246913580246,0.7553595923966294,0.8656716417910447,0.6101694915254238,0.746031746031746,0.7379205666582342,0.746031746031746,0.7837837837837838,0.6923076923076924,0.746031746031746,0.7380457380457381,0.740949740949741,67.0,59.0,0.746031746031746,126.0,126.0
3596,0.7819548872180451,0.8395061728395061,0.8135593220338984,0.8107305300287756,0.814144589345303,0.8,0.8242424242424242,0.8135593220338984,0.8121212121212121,0.8135593220338984,0.7908745247148289,0.8318042813455657,0.8135593220338984,0.8113394030301972,0.8137674394404953,130.0,165.0,0.8135593220338984,295.0,295.0
1215,0.7304964539007093,0.9025974025974026,0.8203389830508474,0.816546928249056,0.8337570231187253,0.8728813559322034,0.7853107344632768,0.8203389830508474,0.82909604519774,0.8203389830508474,0.7953667953667954,0.8398791540785498,0.8203389830508474,0.8176229747226726,0.822074210593848,118.0,177.0,0.8203389830508474,295.0,295.0
1232,0.7372262773722628,0.8037974683544303,0.7728813559322034,0.7705118728633465,0.7740096812030876,0.7651515151515151,0.7791411042944786,0.7728813559322034,0.7721463097229968,0.7728813559322034,0.7509293680297398,0.7912772585669782,0.7728813559322034,0.7711033132983589,0.7732232872079426,132.0,163.0,0.7728813559322034,295.0,295.0
2345,0.8481012658227848,0.8540145985401459,0.8508474576271187,0.8510579321814653,0.8509276384097268,0.8701298701298701,0.8297872340425532,0.8508474576271187,0.8499585520862116,0.8508474576271187,0.8589743589743589,0.841726618705036,0.8508474576271187,0.8503504888396974,0.8507305237947841,154.0,141.0,0.8508474576271187,295.0,295.0
2454,0.5813953488372093,0.7831325301204819,0.6949152542372882,0.6822639394788457,0.7072246415698268,0.6756756756756757,0.7065217391304348,0.6949152542372882,0.6910987074030552,0.6949152542372882,0.6250000000000001,0.7428571428571429,0.6949152542372882,0.6839285714285714,0.6985108958837773,111.0,184.0,0.6949152542372882,295.0,295.0
2607,0.6832298136645962,0.9253731343283582,0.7932203389830509,0.8043014739964772,0.8268741564312347,0.9166666666666666,0.7085714285714285,0.7932203389830509,0.8126190476190476,0.7932203389830509,0.7829181494661921,0.802588996763754,0.7932203389830509,0.7927535731149731,0.7945872961681356,120.0,175.0,0.7932203389830509,295.0,295.0
2634,0.7865168539325843,0.8571428571428571,0.8222222222222222,0.8218298555377207,0.8245764223292313,0.8433734939759037,0.8041237113402062,0.8222222222222222,0.8237486026580549,0.8222222222222222,0.813953488372093,0.8297872340425533,0.8222222222222222,0.8218703612073232,0.8224861179833965,83.0,97.0,0.8222222222222222,180.0,180.0
3682,0.7777777777777778,0.8142857142857143,0.7902439024390244,0.7960317460317461,0.7932713898567557,0.8898305084745762,0.6551724137931034,0.7902439024390244,0.7725014611338399,0.7902439024390244,0.8300395256916996,0.7261146496815287,0.7902439024390244,0.7780770876866141,0.7859348222142125,118.0,87.0,0.7902439024390244,205.0,205.0
1216,0.70625,0.8222222222222222,0.7593220338983051,0.7642361111111111,0.7683639359698682,0.8248175182481752,0.7025316455696202,0.7593220338983051,0.7636745819088977,0.7593220338983051,0.7609427609427609,0.757679180887372,0.7593220338983051,0.7593109709150665,0.7591948095910611,137.0,158.0,0.7593220338983051,295.0,295.0
1434,0.9318181818181818,0.8,0.8595890410958904,0.865909090909091,0.8699719800747199,0.7935483870967742,0.9343065693430657,0.8595890410958904,0.86392747821992,0.8595890410958904,0.8571428571428571,0.861952861952862,0.8595890410958904,0.8595478595478596,0.8593996059749486,155.0,137.0,0.8595890410958904,292.0,292.0
2379,0.7522935779816514,0.8387096774193549,0.8067796610169492,0.7955016277005031,0.8059008532260573,0.7321428571428571,0.8524590163934426,0.8067796610169492,0.7923009367681498,0.8067796610169492,0.7420814479638009,0.8455284552845529,0.8067796610169492,0.793804951624177,0.8062536592848097,112.0,183.0,0.8067796610169492,295.0,295.0
2455,0.8307692307692308,0.85625,0.8448275862068966,0.8435096153846153,0.8447397214854111,0.8244274809160306,0.8616352201257862,0.8448275862068966,0.8430313505209084,0.8448275862068966,0.8275862068965517,0.8589341692789968,0.8448275862068966,0.8432601880877743,0.8447735379958923,131.0,159.0,0.8448275862068966,290.0,290.0
2609,0.7094017094017094,0.9265536723163842,0.8401360544217688,0.8179776908590468,0.8556469089156741,0.8645833333333334,0.8282828282828283,0.8401360544217688,0.8464330808080809,0.8401360544217688,0.7793427230046949,0.8746666666666667,0.8401360544217688,0.8270046948356808,0.8435404809811249,96.0,198.0,0.8401360544217688,294.0,294.0
2637,0.4712041884816754,0.9259259259259259,0.6066176470588235,0.6985650572038007,0.7654359009456022,0.9375,0.42613636363636365,0.6066176470588235,0.6818181818181819,0.6066176470588235,0.627177700348432,0.5836575875486382,0.6066176470588235,0.605417643948535,0.59901762736033,96.0,176.0,0.6066176470588235,272.0,272.0
4904,0.7727272727272727,0.6926829268292682,0.7167235494880546,0.7327050997782705,0.7284706719235979,0.5190839694656488,0.8765432098765432,0.7167235494880546,0.697813589671096,0.7167235494880546,0.6210045662100456,0.7738419618528609,0.7167235494880546,0.6974232640314533,0.7055085187497592,131.0,162.0,0.7167235494880546,293.0,293.0
1218,0.8083333333333333,0.8457142857142858,0.8305084745762712,0.8270238095238096,0.830001614205004,0.782258064516129,0.8654970760233918,0.8305084745762712,0.8238775702697604,0.8305084745762712,0.7950819672131147,0.8554913294797687,0.8305084745762712,0.8252866483464417,0.8300989195778532,124.0,171.0,0.8305084745762712,295.0,295.0
1702,0.8484848484848485,0.8773006134969326,0.864406779661017,0.8628927309908905,0.864406779661017,0.8484848484848485,0.8773006134969326,0.864406779661017,0.8628927309908905,0.864406779661017,0.8484848484848486,0.8773006134969326,0.864406779661017,0.8628927309908906,0.864406779661017,132.0,163.0,0.864406779661017,295.0,295.0
2408,0.8604651162790697,0.6875,0.7380952380952381,0.7739825581395349,0.7692760243632336,0.5323741007194245,0.9225806451612903,0.7380952380952381,0.7274773729403574,0.7380952380952381,0.6577777777777778,0.7878787878787878,0.7380952380952381,0.7228282828282828,0.7263684463684462,139.0,155.0,0.7380952380952381,294.0,294.0
2459,0.7969924812030075,0.8571428571428571,0.8299319727891157,0.8270676691729323,0.8307503452508822,0.8217054263565892,0.8363636363636363,0.8299319727891157,0.8290345313601127,0.8299319727891157,0.8091603053435114,0.8466257668711655,0.8299319727891157,0.8278930361073384,0.8301868398743376,129.0,165.0,0.8299319727891157,294.0,294.0
2610,0.7534246575342466,0.9463087248322147,0.8508474576271187,0.8498666911832307,0.8691550979130275,0.9322033898305084,0.7966101694915254,0.8508474576271187,0.8644067796610169,0.8508474576271187,0.8333333333333333,0.8650306748466258,0.8508474576271187,0.8491820040899796,0.8523517382413087,118.0,177.0,0.8508474576271187,295.0,295.0
3034,0.8252427184466019,0.8802083333333334,0.8610169491525423,0.8527255258899676,0.8600853285612419,0.7870370370370371,0.9037433155080213,0.8610169491525423,0.8453901762725292,0.8610169491525423,0.8056872037914692,0.891820580474934,0.8610169491525423,0.8487538921332016,0.8602870052823435,108.0,187.0,0.8610169491525423,295.0,295.0
5388,0.8939393939393939,0.852760736196319,0.8711864406779661,0.8733500650678565,0.8725823273811212,0.8309859154929577,0.9084967320261438,0.8711864406779661,0.8697413237595508,0.8711864406779661,0.8613138686131386,0.879746835443038,0.8711864406779661,0.8705303520280883,0.8708740175113577,142.0,153.0,0.8711864406779661,295.0,295.0
1227,0.8835616438356164,0.6644295302013423,0.7728813559322034,0.7739955870184794,0.7973944398302748,0.7206703910614525,0.853448275862069,0.7728813559322034,0.7870593334617607,0.7728813559322034,0.7938461538461539,0.7471698113207548,0.7728813559322034,0.7705079825834543,0.7754920666158275,179.0,116.0,0.7728813559322034,295.0,295.0
2330,0.7808219178082192,0.87248322147651,0.8271186440677966,0.8266525696423646,0.8311579557548738,0.8571428571428571,0.8024691358024691,0.8271186440677966,0.8298059964726632,0.8271186440677966,0.8172043010752688,0.8360128617363344,0.8271186440677966,0.8266085814058015,0.8275330699806674,133.0,162.0,0.8271186440677966,295.0,295.0
2412,0.7029702970297029,0.7277486910994765,0.7191780821917808,0.7153594940645898,0.717311216885154,0.5772357723577236,0.8224852071005917,0.7191780821917808,0.6998604897291576,0.7191780821917808,0.6339285714285714,0.7722222222222224,0.7191780821917808,0.7030753968253969,0.7139683898673626,123.0,169.0,0.7191780821917808,292.0,292.0
2468,0.7407407407407407,0.8125,0.7796610169491526,0.7766203703703703,0.7808772755806654,0.7692307692307693,0.7878787878787878,0.7796610169491526,0.7785547785547786,0.7796610169491526,0.7547169811320754,0.8,0.7796610169491526,0.7773584905660378,0.7800447713463383,130.0,165.0,0.7796610169491526,295.0,295.0
2615,0.8016528925619835,0.9310344827586207,0.8779661016949153,0.8663436876603021,0.8832290816351174,0.8899082568807339,0.8709677419354839,0.8779661016949153,0.8804379994081089,0.8779661016949153,0.8434782608695652,0.9,0.8779661016949153,0.8717391304347826,0.8791156963890937,109.0,186.0,0.8779661016949153,295.0,295.0
3035,0.8169014084507042,0.8430493273542601,0.8367346938775511,0.8299753679024822,0.8347780468847679,0.6236559139784946,0.9353233830845771,0.8367346938775511,0.7794896485315359,0.8367346938775511,0.7073170731707317,0.8867924528301886,0.8367346938775511,0.7970547630004601,0.8300196286521971,93.0,201.0,0.8367346938775511,294.0,294.0
1229,0.6715328467153284,0.9430379746835443,0.8169491525423729,0.8072854106994364,0.8500819817181552,0.9108910891089109,0.7680412371134021,0.8169491525423729,0.8394661631111565,0.8169491525423729,0.773109243697479,0.8465909090909092,0.8169491525423729,0.809850076394194,0.821432779583328,101.0,194.0,0.8169491525423729,295.0,295.0
2337,0.7231638418079096,0.9230769230769231,0.8027210884353742,0.8231203824424164,0.8299201471114305,0.9343065693430657,0.6878980891719745,0.8027210884353742,0.8111023292575201,0.8027210884353742,0.8152866242038216,0.7883211678832116,0.8027210884353742,0.8018038960435165,0.8008867036516591,137.0,157.0,0.8027210884353742,294.0,294.0
2439,0.817258883248731,0.7040816326530612,0.7796610169491526,0.7606702579508962,0.7769754550706112,0.8473684210526315,0.6571428571428571,0.7796610169491526,0.7522556390977444,0.7796610169491526,0.8320413436692506,0.6798029556650246,0.7796610169491526,0.7559221496671376,0.7778547987863905,190.0,105.0,0.7796610169491526,295.0,295.0
2498,0.8248175182481752,0.8481012658227848,0.8372881355932204,0.8364593920354799,0.8372881355932204,0.8248175182481752,0.8481012658227848,0.8372881355932204,0.8364593920354799,0.8372881355932204,0.8248175182481752,0.8481012658227848,0.8372881355932204,0.8364593920354799,0.8372881355932204,137.0,158.0,0.8372881355932204,295.0,295.0
2618,0.6666666666666666,0.9225352112676056,0.7898305084745763,0.7946009389671361,0.8245245484204663,0.9026548672566371,0.7197802197802198,0.7898305084745763,0.8112175435184285,0.7898305084745763,0.7669172932330827,0.8086419753086419,0.7898305084745763,0.7877796342708623,0.7926593004796989,113.0,182.0,0.7898305084745763,295.0,295.0
3045,0.8083333333333333,0.7790697674418605,0.791095890410959,0.7937015503875969,0.7925991557820963,0.7185185185185186,0.8535031847133758,0.791095890410959,0.7860108516159472,0.791095890410959,0.7607843137254902,0.8145896656534956,0.791095890410959,0.7876869896894929,0.7897139036319862,135.0,157.0,0.791095890410959,292.0,292.0
