X,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J
2876,5076302,565023261,111.0,111.5,111.0,111.5,3112,110.5,112.0,66.66666667,51.47693438,53.18644019,56.60545183
2877,7605974,843282382,111.0,111.5,110.5,111.0,4456,110.5,112.0,33.33333333,45.42906736,50.60064925,60.94381303
2878,7803462,863610836,111.0,111.5,110.5,110.5,3660,110.5,112.0,0.0,30.28604491,43.82911447,70.91525359
2879,7113481,789685509,110.5,111.5,110.5,111.5,3047,110.5,111.5,100.0,53.52402994,47.06075296,34.134199
2880,11124619,1235432530,111.0,111.5,110.5,111.0,4000,110.5,111.5,50.0,52.34935329,48.82361974,41.77215263
2881,12529042,1387192285,111.0,111.0,110.5,110.5,4756,110.5,111.5,0.0,34.89956886,44.18226945,62.74767061
2882,5329947,589615940,110.5,111.0,110.5,110.5,2562,110.5,111.5,0.0,23.26637924,37.21030604,65.09815965
2883,9383021,1036542912,111.0,111.0,110.0,110.0,4885,110.0,111.5,0.0,15.51091949,29.97717719,58.90969259
2884,7601467,839734403,110.5,111.0,110.0,110.5,2924,110.0,111.5,33.33333333,21.45172411,27.1353595,38.50263028
2885,6706689,743029031,111.0,111.0,110.5,111.0,4542,110.0,111.5,66.66666667,36.52337163,30.26469687,17.74734737
2886,7517574,831303731,111.0,111.0,110.0,110.5,3767,110.0,111.5,33.33333333,35.46002553,31.99647309,25.06936822
2887,8510462,939341816,110.5,111.0,110.0,110.5,3619,110.0,111.5,33.33333333,34.75112813,32.91469144,29.24181805
2888,5701579,630781509,110.5,111.0,110.5,111.0,2477,110.0,111.5,66.66666667,45.38964098,37.07300795,20.4397419
2889,6743383,747402674,111.0,111.0,110.5,111.0,3892,110.0,111.0,100.0,63.59309398,45.91303663,10.55292192
2890,8772390,974953243,111.0,111.5,110.5,111.5,3427,110.0,111.5,100.0,75.72872932,55.85160086,16.09734393
2891,6241780,694477421,111.0,111.5,110.5,111.5,2651,110.0,111.5,100.0,83.81915288,65.1741182,27.88404884
2892,8634462,964460421,111.5,112.0,111.0,112.0,3676,110.0,112.0,100.0,89.21276859,73.18700166,41.13546781
2893,10837310,1213588513,112.0,112.5,111.0,112.5,2705,110.0,112.5,100.0,92.80851239,79.72750524,53.56549093
2894,7550072,848292076,112.0,112.5,112.0,112.5,2957,110.0,112.5,100.0,95.20567493,84.88689514,64.24933555
2895,11246753,1268227745,112.5,113.0,112.0,113.0,4006,110.0,113.0,100.0,96.80378329,88.85919119,72.97000699
2896,10373910,1177476391,113.0,114.0,112.5,114.0,4348,110.5,114.0,100.0,97.86918886,91.86252374,79.84919351
2897,8005862,914690841,114.0,114.5,113.5,114.5,3771,110.5,114.5,100.0,98.57945924,94.10150224,85.14558825
2898,4900612,561967781,114.5,115.0,114.0,115.0,2760,110.5,115.0,100.0,99.05297283,95.75199244,89.15003166
2899,9844580,1114630387,114.5,115.0,112.5,113.0,6745,110.5,115.0,55.55555556,84.55383374,92.01927287,106.9501511
2900,5631423,634573595,113.0,113.5,112.5,112.5,2273,111.0,115.0,37.5,68.86922249,84.30258941,115.1693232
2901,5483892,619975177,113.0,114.0,112.5,113.5,2911,111.0,115.0,62.5,66.74614833,78.45044238,101.8590305
2902,2802664,318264074,113.5,114.0,113.0,113.5,1720,112.0,115.0,50.0,61.16409888,72.68832788,95.73678588
2903,4392112,497666527,113.5,114.0,113.0,113.5,2428,112.0,115.0,50.0,57.44273259,67.60646279,87.93392318
2904,8042354,908405675,113.0,114.0,112.5,113.0,3638,112.5,115.0,20.0,44.96182173,60.0582491,90.25110384
2905,5044668,568124951,112.5,113.0,112.0,112.5,2962,112.0,115.0,16.66666667,35.53010337,51.88220052,84.58639482
2906,24404354,2737791969,112.5,113.0,112.0,112.0,5112,112.0,115.0,0.0,23.68673558,42.48371221,80.07766547
2907,8357457,942502269,112.0,113.0,112.0,113.0,4539,112.0,115.0,33.33333333,26.90226817,37.28989753,58.06515625
2908,6135520,696156355,113.0,114.0,112.5,114.0,3930,112.0,114.0,100.0,51.26817878,41.94932461,23.31161628
2909,4955844,563012079,113.5,114.0,113.0,113.5,2726,112.0,114.0,75.0,59.17878585,47.69247836,24.71986337
2910,3216170,365891701,113.5,114.0,113.0,114.0,3046,112.0,114.0,100.0,72.78585723,56.05693798,22.59909948
2911,4561393,519340873,114.0,114.0,113.5,114.0,2563,112.0,114.0,100.0,81.85723816,64.65703804,30.25663781
2912,5398432,616548616,114.0,114.5,113.5,114.0,2454,112.0,114.5,80.0,81.23815877,70.18407828,48.07591731
2913,2821373,322185884,114.5,114.5,113.5,114.5,1827,112.0,114.5,100.0,87.49210585,75.95342081,52.87605072
2914,2891891,329958535,114.0,114.5,113.5,114.0,2006,112.0,114.5,80.0,84.99473723,78.96719295,66.91210438
2915,4187236,475988782,114.0,114.5,113.5,113.5,2007,112.0,114.5,60.0,76.66315815,78.19918135,81.27122774
2916,4497555,511439476,114.0,114.0,113.5,114.0,1871,112.5,114.5,75.0,76.1087721,77.50237827,80.2895906
2917,7621234,870898565,114.0,114.5,113.5,114.0,3509,113.0,114.5,66.66666667,72.96140362,75.98872005,82.04335291
2918,6265184,717989989,114.5,115.0,114.0,114.5,3202,113.0,115.0,75.0,73.64093575,75.20612529,78.33650436
2919,7288045,837589964,115.0,115.0,114.0,115.0,3432,113.5,115.0,100.0,82.4272905,77.61318036,67.98496007
2920,6016925,689696328,114.0,115.0,114.0,115.0,2535,113.5,115.0,100.0,88.28486033,81.17040702,66.94150038
