X,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J
2942,8898154,369774192,41.4,41.7,41.35,41.7,4160,40.2,42.05,81.08108108,66.16449006,54.57460336,31.39482996
2943,7325868,305787438,41.85,41.9,41.55,41.85,4125,40.2,42.05,89.18918919,73.83938977,60.99619883,35.30981695
X,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J
2892,35921612,1250539629,34.6,35.6,34.2,35.385000000000005,16489,34.0,36.85,49.12280702,54.38237517,47.54335946,33.86532805
2893,26197644,926900403,35.2,35.85,34.75,35.394999999999996,11392,34.2,36.85,54.71698113,54.49391049,49.86020981,40.59280844
2894,23492679,851236944,35.95,36.75,35.8,35.58,10490,34.2,36.85,67.9245283,58.9707831,52.89706757,40.74963652
2895,27762616,1022877641,36.45,37.25,36.2,35.775,13210,34.2,37.25,96.72131148,71.55429256,59.11614256,34.23984258
2896,18258586,672835574,36.8,37.3,36.35,35.945,8782,34.2,37.3,100.0,81.03619504,66.42282672,37.19609009
2897,51979452,1984163319,37.7,38.65,37.25,36.235,20180,34.2,38.65,95.50561798,85.85933602,72.90166315,46.98631743
2898,61398566,2339334364,38.0,38.75,37.65,36.58,22489,34.2,38.75,85.71428571,85.81098592,77.20477074,59.99234039
2899,50107222,1960099054,38.45,39.5,38.2,36.95,23106,34.2,39.5,94.33962264,88.65386482,81.02113544,65.75567666
2900,30195388,1190839490,39.6,39.9,39.1,37.260000000000005,14775,34.2,39.9,87.71929825,88.34234263,83.46153783,73.69992824
2901,33559433,1347000359,39.7,40.45,39.65,37.67,15956,34.75,40.45,96.49122807,91.05863778,85.99390448,75.86443789
2902,31913956,1269760431,40.7,40.9,39.05,38.075,15419,35.8,40.9,71.56862745,84.56196767,85.51659221,87.4258413
2903,21737623,867833433,40.0,40.3,39.15,38.495000000000005,10576,36.2,40.9,77.65957447,82.26116994,84.43145145,88.77201449
