stockID,profit
1210,1.6000000000000085
1231,0.3400000000000176
2344,-24.185
2449,-37.64
2603,-92.12
2633,0.7199999999999989
3596,6.049999999999997
1215,81.02999999999999
1232,6.450000000000017
2345,53.0
2454,1.5
2607,2.070000000000004
2634,-27.230000000000004
3682,8.481999999999998
1216,1.0399999999999778
1434,1.6050000000000004
2379,-0.35000000000002274
2455,11.850000000000023
2609,-88.92999999999998
2637,-66.54999999999998
4904,1.309999999999988
1218,0.980000000000004
1702,1.8950000000000031
2408,15.250000000000014
2459,59.960000000000015
2610,11.309999999999995
3034,1.25
5388,1.4899999999999949
1227,54.029999999999994
2330,6.899999999999977
2412,1.0499999999999972
2468,-12.755
2615,-141.95000000000002
3035,10.69999999999996
1229,0.7700000000000031
2337,1.375000000000007
2439,16.84999999999998
2498,5.239999999999995
2618,-16.41
3045,-96.85000000000002
