data,volume,price,open,high,low,close,diff,times,result,Prediction_Result
107/06/07,25277266,5809345446,231.0,231.5,228.0,230.0,0.00,9146,0,0.7025948103792415
107/06/08,24192851,5493234408,229.0,229.0,226.0,227.0,-3.00,7775,0,0.8423153692614771
107/06/11,22028933,4980629259,226.5,227.0,225.0,226.0,-1.00,6726,0,0.7065868263473054
107/06/12,30189360,6837374510,225.0,229.0,224.0,229.0,+3.00,8281,1,0.36127744510978044
107/06/13,36081120,8311856296,229.0,232.0,228.0,232.0,+3.00,10687,1,0.3393213572854291
107/06/14,36932041,8423126398,230.0,230.0,226.5,226.5,-5.50,12252,0,0.5828343313373253
107/06/15,49506679,11291127719,225.0,231.0,224.0,231.0,+4.50,10090,1,0.31137724550898205
107/06/19,61142624,13754800554,225.5,226.0,224.0,225.0,-6.00,19088,0,0.4151696606786427
107/06/20,40708701,9175159127,224.5,227.5,223.5,226.0,+1.00,13262,1,0.35528942115768464
107/06/21,32572707,7379769339,227.5,228.0,226.0,226.5,+0.50,9421,1,0.4151696606786427
107/06/22,44211409,9994644852,224.5,227.5,224.0,227.5,+1.00,14388,1,0.4171656686626746
107/06/25,49058211,10749795782,220.0,220.5,218.0,218.0,X0.00,17959,0,0.6606786427145709
107/06/26,43080346,9242648746,215.5,216.0,212.5,214.5,-3.50,15639,0,0.4810379241516966
107/06/27,40863414,8742004301,216.0,216.0,212.5,213.0,-1.50,12681,0,0.3313373253493014
107/06/28,38816780,8231075920,211.0,214.5,210.0,212.0,-1.00,10772,0,0.3273453093812375
107/06/29,36848680,7919779720,212.0,217.0,212.0,216.5,+4.50,8652,1,0.5429141716566867
107/07/02,33496442,7257081470,218.5,219.0,214.0,214.0,-2.50,8508,0,0.49101796407185627
107/07/03,28663220,6173115899,215.5,218.0,213.5,214.5,+0.50,7758,1,0.32934131736526945
107/07/04,15359295,3324927032,217.0,217.5,215.5,216.0,+1.50,5434,1,0.10978043912175649
107/07/05,18225416,3904832940,214.0,215.0,213.0,214.5,-1.50,5581,0,0.45109780439121755
107/07/06,31344962,6779063394,217.5,217.5,215.0,217.0,+2.50,8620,1,0.499001996007984
107/07/09,41165793,9100880393,219.5,223.0,218.5,221.5,+4.50,14795,1,0.3393213572854291
107/07/10,20196957,4498264914,223.0,224.0,222.0,222.0,+0.50,6922,1,0.5449101796407185
107/07/11,19854690,4355547100,220.0,220.0,218.0,220.0,-2.00,7437,0,0.590818363273453
107/07/12,23806051,5246628771,218.0,222.0,218.0,220.5,+0.50,7885,1,0.7964071856287425
107/07/13,30419311,6799894334,222.5,224.5,222.5,224.5,+4.00,11723,1,0.5808383233532934
107/07/16,16107254,3612296896,224.5,225.0,223.5,223.5,-1.00,6321,0,0.09381237524950099
107/07/17,22554436,5003028272,222.5,223.5,221.0,221.5,-2.00,8636,0,0.5848303393213573
107/07/18,45802658,10221407834,223.0,224.0,222.0,223.0,+1.50,12139,1,0.27944111776447106
107/07/19,43976216,9930715930,225.5,227.0,224.5,224.5,+1.50,12076,1,0.26147704590818366
107/07/20,103652023,24367904428,235.0,237.5,233.0,237.5,+13.00,39544,1,0.5389221556886228
107/07/23,52269877,12621500480,239.0,245.0,238.5,241.0,+3.50,19777,1,0.7405189620758483
107/07/24,27468267,6599675515,240.0,241.5,238.5,241.0,0.00,10574,0,0.6526946107784432
107/07/25,21530312,5173924310,239.0,241.0,239.0,240.5,-0.50,8491,0,0.7425149700598802
107/07/26,30856388,7435261120,241.0,242.5,239.5,241.0,+0.50,10235,1,0.7345309381237525
107/07/27,27129646,6605479210,242.0,244.5,241.0,244.5,+3.50,12493,1,0.5149700598802395
107/07/30,22803730,5585710909,244.5,245.5,244.0,245.5,+1.00,9953,1,0.4091816367265469
107/07/31,28202542,6912550610,243.5,246.0,242.0,246.0,+0.50,9460,1,0.4930139720558882
107/08/01,29777161,7375488342,247.0,248.0,246.5,248.0,+2.00,11667,1,0.6946107784431138
107/08/02,22775110,5611725541,249.0,249.5,243.5,244.5,-3.50,10343,0,0.43912175648702595
107/08/03,25165097,6205758662,246.0,248.0,245.0,247.0,+2.50,9585,1,0.3992015968063872
107/08/06,22364568,5487396854,245.0,247.0,244.0,245.5,-1.50,9732,0,0.35528942115768464
107/08/07,24352418,5922738042,245.0,245.5,241.5,241.5,-4.00,9665,0,0.3812375249500998
107/08/08,24382432,6011480272,245.0,247.5,244.5,247.5,+6.00,10247,1,0.3912175648702595
107/08/09,15128655,3740736404,247.0,248.0,246.0,247.0,-0.50,7127,0,0.4351297405189621
107/08/10,16125492,3961311040,246.5,247.0,244.5,245.0,-2.00,6558,0,0.37325349301397204
107/08/13,17881194,4302280285,241.5,243.0,239.0,240.5,-4.50,9875,0,0.7345309381237525
107/08/14,17488913,4262753253,245.0,245.0,242.5,243.5,+3.00,7415,1,0.4431137724550898
107/08/15,19236321,4642117523,244.5,244.5,239.5,241.5,-2.00,8920,0,0.46506986027944114
107/08/16,19155966,4587260340,238.0,241.5,238.0,239.0,-2.50,9397,0,0.5728542914171657
107/08/17,19634474,4707354383,239.5,241.0,239.0,239.5,+0.50,6680,1,0.716566866267465
107/08/20,17014437,4068729103,239.5,240.0,238.0,239.5,0.00,6640,0,0.562874251497006
107/08/21,13871127,3328215657,239.0,241.0,238.5,241.0,+1.50,5474,1,0.18163672654690619
107/08/22,12679240,3063201922,241.5,242.5,240.5,242.0,+1.00,5009,1,0.1936127744510978
107/08/23,17216240,4200671070,243.0,244.5,243.0,244.5,+2.50,5660,1,0.530938123752495
107/08/24,15446943,3772959070,245.5,246.0,243.0,243.5,-1.00,5099,0,0.25349301397205587
107/08/27,15579299,3825736755,246.0,246.5,244.5,245.0,+1.50,7858,1,0.41317365269461076
107/08/28,40410531,10075613779,248.5,250.0,248.0,249.5,+4.50,16881,1,0.5848303393213573
107/08/29,57633182,14784556456,253.5,259.0,253.5,259.0,+9.50,25668,1,0.5748502994011976
107/08/30,52622808,13914404873,264.5,268.0,262.5,263.5,+4.50,22862,1,0.49700598802395207
107/08/31,70000506,17920548387,257.5,259.0,254.0,256.0,-7.50,19019,0,0.716566866267465
107/09/03,34510555,8901193266,259.0,260.0,256.5,257.0,+1.00,11442,1,0.4491017964071856
107/09/04,41455615,10654493061,258.5,259.5,255.5,257.5,+0.50,9069,1,0.3872255489021956
107/09/05,52706459,13833360422,260.0,264.5,259.0,264.0,+6.50,16421,1,0.5389221556886228
107/09/06,39779488,10467251488,268.0,268.0,261.0,261.0,-3.00,11996,0,0.49500998003992014
107/09/07,44746728,11753033262,263.0,264.0,260.5,264.0,+3.00,15015,1,0.5169660678642715
107/09/10,62851599,16669866076,266.5,266.5,262.5,264.5,+0.50,15504,1,0.500998003992016
107/09/11,44981276,11709484991,263.0,263.5,258.0,260.0,-4.50,14768,0,0.5229540918163673
107/09/12,38415965,9987682900,261.0,262.0,258.0,260.5,+0.50,12104,1,0.5409181636726547
107/09/13,37959180,9721989110,260.0,260.0,253.5,255.0,-5.50,14987,0,0.46506986027944114
107/09/14,40034219,10379404959,257.0,261.5,257.0,261.0,+6.00,15690,1,0.624750499001996
107/09/17,25041358,6483537091,262.5,262.5,257.0,258.0,-3.00,10710,0,0.39520958083832336
107/09/18,34381152,8771502830,256.5,257.0,254.0,254.5,-3.50,11097,0,0.4251497005988024
107/09/19,69978711,18074954749,258.0,260.0,257.0,258.0,+3.50,14056,1,0.6666666666666666
107/09/20,35577071,9225009310,261.5,261.5,257.5,260.0,+2.00,9444,1,0.6167664670658682
107/09/21,36500974,9510363894,261.5,261.5,258.0,261.5,+1.50,10159,1,0.4311377245508982
107/09/25,24978062,6552894296,261.5,264.0,260.5,263.5,+2.00,10082,1,0.39520958083832336
